Time,Extension,Load
(s),(mm),(N)
"0.00000","1.25560","5.16404"
"0.10000","1.74172","6.09226"
"0.20000","2.24041","6.98777"
"0.30000","2.74025","7.92555"
"0.40000","3.24030","8.76558"
"0.50000","3.74036","9.57898"
"0.60000","4.24046","10.35811"
"0.70000","4.74005","11.17513"
"0.80000","5.24032","12.08941"
"0.90000","5.74052","13.26603"
"1.00000","6.24036","14.25715"
"1.10000","6.74012","15.17646"
"1.20000","7.24018","16.12702"
"1.30000","7.74046","17.10143"
"1.40000","8.24028","18.01249"
"1.50000","8.74017","18.70810"
"1.60000","9.24033","19.39376"
"1.70000","9.74039","20.23069"
"1.80000","10.24024","20.94793"
"1.90000","10.74017","21.71836"
"2.00000","11.24047","22.39987"
"2.10000","11.74041","23.17738"
"2.20000","12.24015","23.85539"
"2.30000","12.74012","24.52640"
"2.40000","13.24052","25.16584"
"2.50000","13.74034","25.79537"
"2.60000","14.24013","26.40252"
"2.70000","14.74028","27.06274"
"2.80000","15.24046","27.70372"
"2.90000","15.74028","28.34245"
"3.00000","16.24016","28.89861"
"3.10000","16.74043","29.51237"
"3.20000","17.24044","30.15598"
"3.30000","17.74005","30.71523"
"3.40000","18.24027","31.26884"
"3.50000","18.74045","31.87350"
"3.60000","19.24042","32.42477"
"3.70000","19.74011","33.01183"
"3.80000","20.24028","33.59895"
"3.90000","20.74046","34.12287"
"4.00000","21.24031","34.64008"
"4.10000","21.74016","35.19077"
"4.20000","22.24034","35.83552"
"4.30000","22.74052","36.40079"
"4.40000","23.24008","36.96726"
"4.50000","23.74022","37.55946"
"4.60000","24.24044","38.06160"
"4.70000","24.74038","38.60662"
"4.80000","25.24015","39.16362"
"4.90000","25.74025","39.68129"
"5.00000","26.24045","40.22292"
"5.10000","26.74034","40.74483"
"5.20000","27.24010","41.25544"
"5.30000","27.74028","41.76792"
"5.40000","28.24047","42.26029"
"5.50000","28.74028","42.78822"
"5.60000","29.24024","43.30227"
"5.70000","29.74035","43.85519"
"5.80000","30.24047","44.49027"
"5.90000","30.74017","45.14962"
"6.00000","31.24024","45.76516"
"6.10000","31.74047","46.44066"
"6.20000","32.24033","47.04421"
"6.30000","32.74009","47.62364"
"6.40000","33.24040","48.18826"
"6.50000","33.74027","48.77328"
"6.60000","34.24038","49.33743"
"6.70000","34.74012","49.87516"
"6.80000","35.24037","50.47114"
"6.90000","35.74045","51.08785"
"7.00000","36.24029","51.67603"
"7.10000","36.74013","52.37261"
"7.20000","37.24041","53.03967"
"7.30000","37.74036","53.61340"
"7.40000","38.24022","54.15631"
"7.50000","38.74026","54.78377"
"7.60000","39.24043","55.46399"
"7.70000","39.74030","56.09301"
"7.80000","40.24010","56.82230"
"7.90000","40.74038","57.48420"
"8.00000","41.24043","58.17718"
"8.10000","41.74029","58.89156"
"8.20000","42.24013","59.62207"
"8.30000","42.74028","60.27477"
"8.40000","43.24052","61.07528"
"8.50000","43.74032","61.76008"
"8.60000","44.24012","62.47763"
"8.70000","44.74032","63.15212"
"8.80000","45.24039","63.92612"
"8.90000","45.74018","64.64957"
"9.00000","46.24022","65.35330"
"9.10000","46.74045","66.04305"
"9.20000","47.24024","66.74612"
"9.30000","47.74016","67.42520"
"9.40000","48.24039","68.13482"
"9.50000","48.74052","68.76221"
"9.60000","49.24030","69.39368"
"9.70000","49.74005","70.00031"
"9.80000","50.24041","70.66035"
"9.90000","50.74043","71.34742"
"10.00000","51.24023","82.90997"
"10.10000","51.74009","78.13895"
"10.20000","52.24038","86.75629"
"10.30000","52.74035","81.72447"
"10.40000","53.24017","85.58177"
"10.50000","53.74031","83.67478"
"10.60000","54.24049","88.28615"
"10.70000","54.74033","88.59599"
"10.80000","55.24004","88.47684"
"10.90000","55.74040","94.39087"
"11.00000","56.24049","90.21543"
"11.05400","56.51022","100.02393"
"11.05500","56.51522","100.18766"
"11.13300","56.53798","75.04341"
"11.23300","55.85408","70.58657"
"11.33300","55.34597","70.92760"
"11.43300","54.84507","72.03335"
"11.53300","54.34521","70.87409"
"11.63300","53.84524","69.67097"
"11.73300","53.34520","68.57133"
"11.83300","52.84501","67.41582"
"11.93300","52.34519","66.30234"
"12.03300","51.84521","65.29974"
"12.13300","51.34520","64.29875"
"12.23300","50.84489","63.37098"
"12.33300","50.34525","62.41168"
"12.43300","49.84531","61.47526"
"12.53300","49.34511","60.51963"
"12.63300","48.84506","59.62875"
"12.73300","48.34531","58.71720"
"12.83300","47.84531","57.86338"
"12.93300","47.34500","57.00893"
"13.03300","46.84514","56.17625"
"13.13300","46.34521","55.25685"
"13.23300","45.84520","54.41113"
"13.33300","45.34491","53.54127"
"13.43300","44.84518","52.79836"
"13.53300","44.34522","51.96747"
"13.63300","43.84533","51.27343"
"13.73300","43.34489","50.57375"
"13.83300","42.84530","49.91588"
"13.93300","42.34535","49.29588"
"14.03300","41.84504","48.57502"
"14.13300","41.34497","47.95557"
"14.23300","40.84533","47.31816"
"14.33300","40.34525","46.73701"
"14.43300","39.84501","46.08176"
"14.53300","39.34510","45.50016"
"14.63300","38.84527","44.91093"
"14.73300","38.34515","44.32214"
"14.83300","37.84498","43.74874"
"14.93300","37.34524","43.15161"
"15.03300","36.84523","42.62705"
"15.13300","36.34511","42.05067"
"15.23300","35.84497","41.51010"
"15.33300","35.34530","40.96885"
"15.43300","34.84528","40.39900"
"15.53300","34.34507","39.87560"
"15.63300","33.84494","39.37003"
"15.73300","33.34547","38.93499"
"15.83300","32.84517","38.38842"
"15.93300","32.34499","37.93726"
"16.03300","31.84510","37.40513"
"16.13300","31.34529","36.93040"
"16.23300","30.84515","36.26263"
"16.33300","30.34501","35.41046"
"16.43300","29.84523","34.52645"
"16.53300","29.34531","33.68649"
"16.63300","28.84508","32.93631"
"16.73300","28.34495","32.21818"
"16.83300","27.84538","31.54150"
"16.93300","27.34526","30.89486"
"17.03300","26.84503","30.34562"
"17.13300","26.34500","29.79888"
