Time,Extension,Load
(s),(mm),(N)
0,0,2.46923
0.01,0,2.47019
0.02,0.00005,2.46876
0.03,0.00024,2.47662
0.04,0.00067,2.48236
0.05,0.00155,2.52787
0.06,0.00314,2.61098
0.07,0.00563,2.73155
0.08,0.00906,2.91882
0.09,0.01331,3.14207
0.1,0.0181,3.37865
0.11,0.02311,3.60905
0.12,0.02809,3.7865
0.13,0.03285,3.90701
0.14,0.03736,3.97864
0.15,0.04161,4.02125
0.16,0.04559,4.04548
0.17,0.04935,4.08734
0.18,0.05294,4.14933
0.19,0.05641,4.22836
0.2,0.05982,4.3231
0.21,0.06318,4.43475
0.22,0.0665,4.53677
0.23,0.06978,4.65119
0.24,0.07308,4.78346
0.25,0.07642,4.91447
0.26,0.07979,5.05651
0.27,0.08318,5.21294
0.28,0.08655,5.36858
0.29,0.0899,5.50975
0.3,0.09323,5.66416
0.31,0.09652,5.82611
0.32,0.09979,6.00311
0.33,0.10306,6.15351
0.34,0.10638,6.30248
0.35,0.10975,6.44862
0.36,0.11315,6.60326
0.37,0.11656,6.77164
0.38,0.11994,6.93771
0.39,0.12331,7.11852
0.4,0.12668,7.29342
0.41,0.13001,7.4627
0.42,0.13331,7.63936
0.43,0.13658,7.79462
0.44,0.13985,7.9528
0.45,0.14314,8.11255
0.46,0.14649,8.27916
0.47,0.14989,8.45319
0.48,0.1533,8.62888
0.49,0.1567,8.81801
0.5,0.16003,8.98827
0.51,0.16329,9.166
0.52,0.1665,9.3456
0.53,0.1697,9.51365
0.54,0.17293,9.66961
0.55,0.17618,9.82838
0.56,0.17945,9.97666
0.57,0.18276,10.12424
0.58,0.1861,10.29653
0.59,0.18947,10.50318
0.6,0.19284,10.70315
0.61,0.19617,10.87816
0.62,0.19949,11.03174
0.63,0.20283,11.20632
0.64,0.20625,11.39393
0.65,0.20976,11.59516
0.66,0.21331,11.78154
0.67,0.21682,11.97364
0.68,0.22027,12.14548
0.69,0.22366,12.31068
0.7,0.22701,12.48179
0.71,0.23031,12.6436
0.72,0.23359,12.80914
0.73,0.23684,12.9902
0.74,0.24008,13.16258
0.75,0.24333,13.3326
0.76,0.24661,13.49269
0.77,0.24989,13.66407
0.78,0.25317,13.83784
0.79,0.25646,14.01297
0.8,0.25976,14.1668
0.81,0.26308,14.32993
0.82,0.26642,14.52978
0.83,0.26978,14.71475
0.84,0.27315,14.87928
0.85,0.27653,15.04327
0.86,0.27993,15.22292
0.87,0.28332,15.40567
0.88,0.28669,15.56041
0.89,0.29004,15.72073
0.9,0.29336,15.90081
0.91,0.29669,16.07665
0.92,0.30001,16.2669
0.93,0.30334,16.44969
0.94,0.30665,16.63605
0.95,0.30994,16.82432
0.96,0.31322,17.00341
0.97,0.3165,17.16423
0.98,0.31985,17.33696
0.99,0.32324,17.50975
1,0.32663,17.67484
1.01,0.32996,17.83952
1.02,0.33325,18.00453
1.03,0.33652,18.17459
1.04,0.3398,18.35688
1.05,0.34308,18.53709
1.06,0.34634,18.70534
1.07,0.34956,18.88075
1.08,0.35278,19.06108
1.09,0.35605,19.23363
1.1,0.35937,19.41167
1.11,0.36273,19.58337
1.12,0.36611,19.7576
1.13,0.36948,19.93429
1.14,0.37285,20.10681
1.15,0.37626,20.28882
1.16,0.37972,20.45677
1.17,0.3832,20.6368
1.18,0.38666,20.80979
1.19,0.39006,21.00483
1.2,0.39342,21.19551
1.21,0.39677,21.37682
1.22,0.40013,21.55186
1.23,0.40349,21.70732
1.24,0.40683,21.88737
1.25,0.41013,22.08793
1.26,0.41339,22.27835
1.27,0.41667,22.45276
1.28,0.41997,22.61776
1.29,0.42328,22.78757
1.3,0.42658,22.95647
1.31,0.4299,23.13017
1.32,0.43322,23.31018
1.33,0.43654,23.48949
1.34,0.43985,23.66026
1.35,0.44314,23.81989
1.36,0.44642,23.959
1.37,0.44973,24.12292
1.38,0.45309,24.30907
1.39,0.45648,24.49896
1.4,0.45988,24.70637
1.41,0.46328,24.89835
1.42,0.46669,25.08283
1.43,0.47008,25.25913
1.44,0.47345,25.44342
1.45,0.47676,25.61664
1.46,0.48001,25.77872
1.47,0.48324,25.93447
1.48,0.48648,26.11242
