Time,Extension,Load
(s),(mm),(N)
"0.00000","1.82702","5.17484"
"0.10000","2.32396","6.13303"
"0.20000","2.82129","7.10618"
"0.30000","3.32149","7.95469"
"0.40000","3.82106","8.84907"
"0.50000","4.32111","9.69795"
"0.60000","4.82135","10.51980"
"0.70000","5.32132","11.30283"
"0.80000","5.82113","12.10977"
"0.90000","6.32111","13.16256"
"1.00000","6.82136","14.23573"
"1.10000","7.32131","15.22718"
"1.20000","7.82111","16.30186"
"1.30000","8.32115","17.42826"
"1.40000","8.82139","18.25539"
"1.50000","9.32118","19.14517"
"1.60000","9.82109","19.92764"
"1.70000","10.32127","20.66547"
"1.80000","10.82140","21.44541"
"1.90000","11.32110","22.13976"
"2.00000","11.82111","22.82436"
"2.10000","12.32133","23.50249"
"2.20000","12.82136","24.22617"
"2.30000","13.32108","24.96569"
"2.40000","13.82126","25.64701"
"2.50000","14.32115","26.32720"
"2.60000","14.82134","26.93947"
"2.70000","15.32107","27.55924"
"2.80000","15.82127","28.15012"
"2.90000","16.32137","28.78326"
"3.00000","16.82120","29.39745"
"3.10000","17.32107","29.99905"
"3.20000","17.82138","30.59073"
"3.30000","18.32146","31.18661"
"3.40000","18.82102","31.76507"
"3.50000","19.32105","32.33364"
"3.60000","19.82137","32.94378"
"3.70000","20.32131","33.48814"
"3.80000","20.82105","34.01715"
"3.90000","21.32117","34.49072"
"4.00000","21.82135","34.99400"
"4.10000","22.32130","35.52141"
"4.20000","22.82108","35.98834"
"4.30000","23.32129","36.53238"
"4.40000","23.82139","37.01527"
"4.50000","24.32122","37.58043"
"4.60000","24.82099","38.04519"
"4.70000","25.32137","38.53001"
"4.80000","25.82141","38.99759"
"4.90000","26.32104","39.44101"
"5.00000","26.82108","39.94683"
"5.10000","27.32141","40.39627"
"5.20000","27.82128","40.88583"
"5.30000","28.32103","41.53190"
"5.40000","28.82117","42.12216"
"5.50000","29.32133","42.72766"
"5.60000","29.82131","43.28730"
"5.70000","30.32108","43.84090"
"5.80000","30.82133","44.37232"
"5.90000","31.32133","44.90364"
"6.00000","31.82119","45.43995"
"6.10000","32.32104","45.97826"
"6.20000","32.82143","46.49198"
"6.30000","33.32137","47.01010"
"6.40000","33.82096","47.57225"
"6.50000","34.32110","48.06188"
"6.60000","34.82147","48.52188"
"6.70000","35.32126","49.02840"
"6.80000","35.82101","49.53640"
"6.90000","36.32124","50.07989"
"7.00000","36.82145","50.53657"
"7.10000","37.32120","51.06651"
"7.20000","37.82109","51.56581"
"7.30000","38.32130","52.10426"
"7.40000","38.82137","52.66613"
"7.50000","39.32108","53.29179"
"7.60000","39.82119","53.88969"
"7.70000","40.32135","54.43734"
"7.80000","40.82131","55.04005"
"7.90000","41.32097","55.60351"
"8.00000","41.82118","56.25063"
"8.10000","42.32148","56.92134"
"8.20000","42.82125","57.59483"
"8.30000","43.32104","58.28978"
"8.40000","43.82124","58.97172"
"8.50000","44.32135","59.66463"
"8.60000","44.82125","60.34231"
"8.70000","45.32104","61.07164"
"8.80000","45.82145","61.78620"
"8.90000","46.32119","62.43427"
"9.00000","46.82115","63.12499"
"9.10000","47.32109","63.76875"
"9.20000","47.82138","64.49606"
"9.30000","48.32129","65.19602"
"9.40000","48.82100","65.91763"
"9.50000","49.32120","66.59639"
"9.60000","49.82148","67.26239"
"9.70000","50.32127","67.97882"
"9.80000","50.82103","68.64730"
"9.90000","51.32124","69.28335"
"10.00000","51.82145","69.99442"
"10.10000","52.32116","70.65125"
"10.20000","52.82104","71.25653"
"10.30000","53.32132","71.86257"
"10.40000","53.82130","72.50371"
"10.50000","54.32107","73.08913"
"10.60000","54.82116","73.70596"
"10.70000","55.32141","74.28678"
"10.80000","55.82133","74.87582"
"10.90000","56.32119","75.39281"
"11.00000","56.82102","75.94955"
"11.10000","57.32147","76.45499"
"11.20000","57.82124","76.91832"
"11.30000","58.32107","77.35134"
"11.40000","58.82127","81.52686"
"11.50000","59.32140","98.55841"
"11.51500","59.39639","100.05176"
"11.51600","59.40139","100.14690"
"11.61600","59.24534","86.47652"
"11.71600","58.62624","75.61234"
"11.81600","58.12148","74.26284"
"11.91600","57.62128","72.97047"
"12.01600","57.12130","71.84525"
"12.11600","56.62099","70.81949"
"12.21600","56.12138","69.86350"
"12.31600","55.62130","69.00572"
"12.41600","55.12118","68.07031"
"12.51600","54.62105","67.15396"
"12.61600","54.12130","66.20362"
"12.71600","53.62125","65.32330"
"12.81600","53.12115","64.38887"
"12.91600","52.62102","63.47206"
"13.01600","52.12134","62.53809"
"13.11600","51.62132","61.67495"
"13.21600","51.12109","60.76891"
"13.31600","50.62113","59.82064"
"13.41600","50.12138","58.94875"
"13.51600","49.62128","58.14221"
"13.61600","49.12104","57.27455"
"13.71600","48.62125","56.45908"
"13.81600","48.12127","55.65432"
"13.91600","47.62116","54.86454"
"14.01600","47.12098","54.08433"
"14.11600","46.62127","53.37250"
"14.21600","46.12123","52.73106"
"14.31600","45.62135","52.04271"
"14.41600","45.12098","51.41880"
"14.51600","44.62136","50.78530"
"14.61600","44.12133","50.13955"
"14.71600","43.62108","49.51080"
"14.81600","43.12107","48.89252"
"14.91600","42.62136","48.20085"
"15.01600","42.12123","47.61804"
"15.11600","41.62104","47.07490"
"15.21600","41.12119","46.52566"
"15.31600","40.62135","45.99866"
"15.41600","40.12110","45.42280"
"15.51600","39.62110","44.92937"
"15.61600","39.12133","44.41348"
"15.71600","38.62127","43.95057"
"15.81600","38.12111","43.57024"
"15.91600","37.62108","43.11710"
"16.01600","37.12137","42.74518"
"16.11600","36.62128","42.33584"
"16.21600","36.12107","41.64454"
"16.31600","35.62105","40.76717"
"16.41600","35.12149","40.01677"
"16.51600","34.62116","39.31376"
"16.61600","34.12109","38.53880"
"16.71600","33.62121","37.80511"
"16.81600","33.12134","37.06089"
"16.91600","32.62112","36.34387"
"17.01600","32.12106","35.61591"
"17.11600","31.62134","34.94559"
"17.21600","31.12130","34.28528"
"17.31600","30.62110","33.58105"
"17.41600","30.12105","32.99112"
"17.51600","29.62137","32.41727"
"17.61600","29.12131","31.91624"
"17.71600","28.62104","31.42934"
"17.81600","28.12109","30.91502"
"17.91600","27.62128","30.46103"
"18.01600","27.12119","29.91442"
"18.11600","26.62099","29.48920"
"18.21600","26.12129","29.06264"
"18.31600","25.62133","28.57552"
"18.41600","25.12105","28.13159"
"18.51600","24.62113","27.66467"
"18.61600","24.12138","27.14441"
"18.71600","23.62129","26.70486"
"18.81600","23.12107","26.15831"
"18.91600","22.62111","25.67762"
"19.01600","22.12135","25.18291"
"19.11600","21.62115","24.65875"
"19.21600","21.12114","24.16667"
"19.31600","20.62113","23.66713"
"19.41600","20.12129","23.15173"
"19.51600","19.62116","22.68763"
"19.61600","19.12115","22.12856"
"19.71600","18.62129","21.57336"
"19.81600","18.12136","21.03151"
"19.91600","17.62110","20.51138"
"20.01600","17.12107","19.95134"
"20.11600","16.62133","19.41312"
"20.21600","16.12129","18.78859"
"20.31600","15.62111","18.24342"
