Time,Extension,Load
(s),(mm),(N)
"0.00000","4.04573","5.05016"
"0.10000","4.53206","5.50247"
"0.20000","5.03075","5.97615"
"0.30000","5.53072","6.42876"
"0.40000","6.03048","6.80435"
"0.50000","6.53066","7.16594"
"0.60000","7.03079","7.53242"
"0.70000","7.53065","7.87632"
"0.80000","8.03053","8.17962"
"0.90000","8.53075","8.50159"
"1.00000","9.03080","8.79434"
"1.10000","9.53049","9.31358"
"1.20000","10.03056","9.85185"
"1.30000","10.53084","10.30914"
"1.40000","11.03071","10.63245"
"1.50000","11.53057","11.01784"
"1.60000","12.03060","11.39401"
"1.70000","12.53088","11.70409"
"1.80000","13.03066","11.96978"
"1.90000","13.53053","12.28691"
"2.00000","14.03080","12.54944"
"2.10000","14.53068","12.85340"
"2.20000","15.03055","13.10259"
"2.30000","15.53052","13.38528"
"2.40000","16.03078","13.61668"
"2.50000","16.53083","13.85235"
"2.60000","17.03047","14.10592"
"2.70000","17.53060","14.37906"
"2.80000","18.03082","14.57941"
"2.90000","18.53068","14.83568"
"3.00000","19.03053","15.07041"
"3.10000","19.53064","15.28882"
"3.20000","20.03079","15.54526"
"3.30000","20.53059","15.79779"
"3.40000","21.03051","16.01906"
"3.50000","21.53075","16.25615"
"3.60000","22.03078","16.51994"
"3.70000","22.53055","16.70061"
"3.80000","23.03053","16.96470"
"3.90000","23.53082","17.20339"
"4.00000","24.03086","17.41821"
"4.10000","24.53058","17.66179"
"4.20000","25.03024","17.93279"
"4.30000","25.53091","18.18618"
"4.40000","26.03074","18.46762"
"4.50000","26.53048","18.71807"
"4.60000","27.03069","18.98984"
"4.70000","27.53081","19.25202"
"4.80000","28.03062","19.44281"
"4.90000","28.53054","19.65724"
"5.00000","29.03077","19.85929"
"5.10000","29.53083","20.08586"
"5.20000","30.03045","20.29740"
"5.30000","30.53057","20.49479"
"5.40000","31.03084","20.71079"
"5.50000","31.53082","20.92180"
"5.60000","32.03042","21.11891"
"5.70000","32.53059","21.32654"
"5.80000","33.03091","21.54466"
"5.90000","33.53068","21.72546"
"6.00000","34.03047","21.96941"
"6.10000","34.53064","22.21848"
"6.20000","35.03089","22.58189"
"6.30000","35.53036","22.90288"
"6.40000","36.03061","23.20419"
"6.50000","36.53079","23.47470"
"6.60000","37.03078","23.73240"
"6.70000","37.53054","23.99996"
"6.80000","38.03056","24.20649"
"6.90000","38.53090","24.45269"
"7.00000","39.03079","24.69878"
"7.10000","39.53036","24.95127"
"7.20000","40.03059","25.22748"
"7.30000","40.53090","25.45800"
"7.40000","41.03070","25.77358"
"7.50000","41.53038","25.96795"
"7.60000","42.03068","26.23604"
"7.70000","42.53091","26.49280"
"7.80000","43.03061","26.74815"
"7.90000","43.53052","27.00236"
"8.00000","44.03078","27.22300"
"8.10000","44.53078","27.50332"
"8.20000","45.03045","27.70604"
"8.30000","45.53066","27.93225"
"8.40000","46.03089","28.15411"
"8.50000","46.53070","28.35204"
"8.60000","47.03038","28.58757"
"8.70000","47.53069","28.83105"
"8.80000","48.03093","29.11642"
"8.90000","48.53066","29.39211"
"9.00000","49.03043","29.66131"
"9.10000","49.53074","29.97255"
"9.20000","50.03084","30.20308"
"9.30000","50.53060","30.53038"
"9.40000","51.03047","30.76053"
"9.50000","51.53090","31.04109"
"9.60000","52.03069","31.27834"
"9.70000","52.53053","31.60152"
"9.80000","53.03062","31.90048"
"9.90000","53.53087","32.17316"
"10.00000","54.03068","32.46403"
"10.10000","54.53043","32.73856"
"10.20000","55.03069","33.05789"
"10.30000","55.53090","33.35275"
"10.40000","56.03067","33.63622"
"10.50000","56.53063","33.95201"
"10.60000","57.03059","34.19714"
"10.70000","57.53088","34.47558"
"10.80000","58.03056","34.80766"
"10.90000","58.53043","35.08257"
"11.00000","59.03083","35.42344"
"11.10000","59.53070","35.65829"
"11.20000","60.03046","35.95418"
"11.30000","60.53065","36.20391"
"11.40000","61.03088","36.51268"
"11.50000","61.53072","36.79514"
"11.60000","62.03053","37.04240"
"11.70000","62.53070","37.34725"
"11.80000","63.03089","37.62857"
"11.90000","63.53059","37.89952"
"12.00000","64.03052","38.14830"
"12.10000","64.53078","38.41069"
"12.20000","65.03082","38.68840"
"12.30000","65.53051","38.96260"
"12.40000","66.03049","39.44085"
"12.50000","66.53091","57.48523"
"12.60000","67.03088","68.14276"
"12.70000","67.53024","87.70531"
"12.72300","67.64546","100.41116"
"12.72400","67.65047","101.16833"
"12.75200","67.78202","126.17945"
"12.78400","67.78236","99.32446"
"12.79800","67.70434","74.32054"
"12.82900","67.45549","49.28566"
"12.92900","66.85079","44.42288"
"13.02900","66.34602","38.53147"
"13.12900","65.84561","37.10232"
"13.22900","65.34576","36.58920"
"13.32900","64.84595","36.07349"
"13.42900","64.34560","35.56918"
"13.52900","63.84566","35.05630"
"13.62900","63.34574","34.62116"
"13.72900","62.84589","34.09345"
"13.82900","62.34566","33.66021"
"13.92900","61.84579","33.17315"
"14.02900","61.34586","32.66914"
"14.12900","60.84577","32.24186"
"14.22900","60.34562","31.79086"
"14.32900","59.84581","31.33655"
"14.42900","59.34582","30.85205"
"14.52900","58.84570","30.41228"
"14.62900","58.34553","30.01803"
"14.72900","57.84587","29.54831"
"14.82900","57.34584","29.10029"
"14.92900","56.84554","28.71610"
"15.02900","56.34590","28.26051"
"15.12900","55.84582","27.87254"
"15.22900","55.34590","27.44556"
"15.32900","54.84562","27.02482"
"15.42900","54.34575","26.60067"
"15.52900","53.84572","26.20516"
"15.62900","53.34573","25.78389"
"15.72900","52.84553","25.41350"
"15.82900","52.34580","24.99338"
"15.92900","51.84582","24.61123"
"16.02900","51.34575","24.19685"
"16.12900","50.84555","23.76387"
"16.22900","50.34592","23.49075"
"16.32900","49.84594","23.12225"
"16.42900","49.34564","22.83983"
"16.52900","48.84557","22.59492"
"16.62900","48.34588","22.36740"
"16.72900","47.84584","22.05435"
"16.82900","47.34559","21.82229"
"16.92900","46.84567","21.53460"
"17.02900","46.34575","21.31789"
"17.12900","45.84592","21.04833"
"17.22900","45.34555","20.83423"
"17.32900","44.84583","20.56728"
"17.42900","44.34584","20.39388"
"17.52900","43.84566","20.13652"
"17.62900","43.34560","19.92655"
"17.72900","42.84593","19.76801"
"17.82900","42.34581","19.54916"
"17.92900","41.84566","19.31345"
"18.02900","41.34559","19.05685"
"18.12900","40.84592","18.86645"
"18.22900","40.34580","18.62268"
"18.32900","39.84563","18.41942"
"18.42900","39.34572","18.26810"
"18.52900","38.84584","18.03463"
"18.62900","38.34571","17.89530"
"18.72900","37.84563","17.75550"
"18.82900","37.34584","17.55475"
"18.92900","36.84585","17.29965"
"19.02900","36.34569","17.02684"
"19.12900","35.84557","16.78838"
"19.22900","35.34596","16.48763"
"19.32900","34.84584","16.15209"
"19.42900","34.34561","15.78859"
"19.52900","33.84560","15.44088"
"19.62900","33.34585","15.15030"
"19.72900","32.84575","14.84870"
"19.82900","32.34559","14.58569"
"19.92900","31.84578","14.34233"
"20.02900","31.34590","14.14791"
"20.12900","30.84568","13.98551"
"20.22900","30.34570","13.82674"
"20.32900","29.84587","13.67292"
"20.42900","29.34586","13.48706"
"20.52900","28.84564","13.33097"
"20.62900","28.34561","13.11104"
"20.72900","27.84587","12.94909"
"20.82900","27.34573","12.74882"
"20.92900","26.84567","12.61914"
"21.02900","26.34565","12.51751"
"21.12900","25.84586","12.29786"
"21.22900","25.34575","12.13110"
"21.32900","24.84557","11.89993"
"21.42900","24.34591","11.76488"
"21.52900","23.84585","11.52548"
"21.62900","23.34564","11.30117"
"21.72900","22.84560","11.10868"
"21.82900","22.34582","10.89558"
"21.92900","21.84585","10.75026"
"22.02900","21.34569","10.56365"
"22.12900","20.84557","10.38203"
"22.22900","20.34587","10.23911"
"22.32900","19.84582","10.02011"
"22.42900","19.34565","9.84527"
"22.52900","18.84564","9.58469"
"22.62900","18.34584","9.41535"
"22.72900","17.84577","9.19688"
"22.82900","17.34565","8.90792"
"22.92900","16.84571","8.57919"
"23.02900","16.34596","8.33947"
"23.12900","15.84563","8.01982"
"23.22900","15.34564","7.77285"
"23.32900","14.84586","7.63896"
"23.42900","14.34574","7.42593"
"23.52900","13.84586","7.17184"
"23.62900","13.34560","6.96796"
"23.72900","12.84584","6.66129"
"23.82900","12.34578","6.32288"
"23.92900","11.84564","5.98931"
"24.02900","11.34573","5.62805"
"24.12900","10.84586","5.25682"
"24.22900","10.34570","4.93711"
"24.32900","9.84570","4.67015"
"24.42900","9.34579","4.35014"
"24.52900","8.84586","4.09047"
"24.62900","8.34562","3.77740"
"24.72900","7.84567","3.48540"
"24.82900","7.34588","3.14869"
"24.92900","6.84581","2.82542"
"25.02900","6.34556","2.45762"
"25.12900","5.84572","2.09896"
"25.22900","5.34588","1.78321"
"25.32900","4.84584","1.35976"
"25.42900","4.34555","0.94727"
"25.52900","3.84560","0.60876"
"25.62900","3.34604","0.23509"
"25.69900","2.99568","-0.00168"
