Time,Extension,Load
(s),(mm),(N)
"0.00000","1.71591","5.12096"
"0.10000","2.20228","6.07511"
"0.20000","2.70103","6.99436"
"0.30000","3.20099","7.85771"
"0.40000","3.70077","8.73522"
"0.50000","4.20067","9.55653"
"0.60000","4.70099","10.31677"
"0.70000","5.20084","11.46414"
"0.80000","5.70074","12.52911"
"0.90000","6.20084","13.47099"
"1.00000","6.70108","14.22604"
"1.10000","7.20069","15.03428"
"1.20000","7.70071","15.86776"
"1.30000","8.20098","16.81292"
"1.40000","8.70113","17.61146"
"1.50000","9.20049","18.31879"
"1.60000","9.70070","19.02819"
"1.70000","10.20104","19.70300"
"1.80000","10.70099","20.35827"
"1.90000","11.20074","21.03672"
"2.00000","11.70069","21.64910"
"2.10000","12.20108","22.21868"
"2.20000","12.70094","22.81002"
"2.30000","13.20069","23.38842"
"2.40000","13.70087","23.93581"
"2.50000","14.20104","24.55330"
"2.60000","14.70068","25.17524"
"2.70000","15.20058","25.76534"
"2.80000","15.70097","26.31841"
"2.90000","16.20104","26.88887"
"3.00000","16.70069","27.42895"
"3.10000","17.20069","27.97117"
"3.20000","17.70107","28.49566"
"3.30000","18.20098","28.98575"
"3.40000","18.70067","29.49232"
"3.50000","19.20076","29.97230"
"3.60000","19.70104","30.44620"
"3.70000","20.20079","30.91942"
"3.80000","20.70073","31.43240"
"3.90000","21.20089","31.88189"
"4.00000","21.70109","32.32234"
"4.10000","22.20065","32.78790"
"4.20000","22.70075","33.22713"
"4.30000","23.20098","33.73079"
"4.40000","23.70101","34.13486"
"4.50000","24.20063","34.57774"
"4.60000","24.70073","35.01580"
"4.70000","25.20102","35.42067"
"4.80000","25.70093","35.80524"
"4.90000","26.20066","36.18930"
"5.00000","26.70088","36.58299"
"5.10000","27.20106","36.99592"
"5.20000","27.70085","37.34464"
"5.30000","28.20067","37.74713"
"5.40000","28.70090","38.09271"
"5.50000","29.20099","38.46631"
"5.60000","29.70069","38.81049"
"5.70000","30.20082","39.13466"
"5.80000","30.70082","39.49339"
"5.90000","31.20098","39.84086"
"6.00000","31.70072","40.13309"
"6.10000","32.20076","40.46846"
"6.20000","32.70102","40.77170"
"6.30000","33.20087","41.11546"
"6.40000","33.70068","41.46344"
"6.50000","34.20094","41.88227"
"6.60000","34.70098","42.39745"
"6.70000","35.20075","42.92569"
"6.80000","35.70073","43.46644"
"6.90000","36.20091","43.94967"
"7.00000","36.70105","44.49418"
"7.10000","37.20069","44.98978"
"7.20000","37.70081","45.53576"
"7.30000","38.20092","46.09566"
"7.40000","38.70098","46.67833"
"7.50000","39.20063","47.25572"
"7.60000","39.70082","47.79082"
"7.70000","40.20097","48.43748"
"7.80000","40.70106","49.01497"
"7.90000","41.20041","49.63754"
"8.00000","41.70102","50.19015"
"8.10000","42.20101","50.79768"
"8.20000","42.70074","51.37152"
"8.30000","43.20065","51.96723"
"8.40000","43.70095","52.58111"
"8.50000","44.20098","53.08444"
"8.60000","44.70068","53.40067"
"8.70000","45.20070","54.03820"
"8.80000","45.70104","54.62514"
"8.90000","46.20100","55.24602"
"9.00000","46.70071","55.81109"
"9.10000","47.20084","56.38418"
"9.20000","47.70098","56.96392"
"9.30000","48.20085","57.53416"
"9.40000","48.70063","58.04139"
"9.50000","49.20094","58.63920"
"9.60000","49.70088","59.14557"
"9.70000","50.20075","59.69979"
"9.80000","50.70071","60.21690"
"9.90000","51.20118","60.70430"
"10.00000","51.70073","61.19822"
"10.10000","52.20074","61.68650"
"10.20000","52.70080","62.10678"
"10.30000","53.20101","62.63464"
"10.40000","53.70093","63.03090"
"10.50000","54.20057","63.46914"
"10.60000","54.70087","63.85805"
"10.70000","55.20097","64.29160"
"10.80000","55.70084","64.62919"
"10.90000","56.20073","65.00920"
"11.00000","56.70101","65.36246"
"11.10000","57.20091","65.63538"
"11.20000","57.70068","65.95625"
"11.30000","58.20073","66.19521"
"11.40000","58.70109","66.46369"
"11.50000","59.20086","74.73029"
"11.60000","59.70065","92.00295"
"11.67200","60.06103","100.03160"
"11.67300","60.06602","100.12762"
"11.77300","59.90948","81.34229"
"11.87300","59.29080","67.48376"
"11.97300","58.78602","64.09058"
"12.07300","58.28581","62.96293"
"12.17300","57.78589","61.88251"
"12.27300","57.28562","60.88565"
"12.37300","56.78582","59.98841"
"12.47300","56.28585","59.12236"
"12.57300","55.78572","58.32204"
"12.67300","55.28564","57.45970"
"12.77300","54.78587","56.69703"
"12.87300","54.28582","55.89098"
"12.97300","53.78568","55.18166"
"13.07300","53.28554","54.39671"
"13.17300","52.78594","53.66173"
"13.27300","52.28583","52.93554"
"13.37300","51.78549","52.16462"
"13.47300","51.28597","51.40782"
"13.57300","50.78581","50.62663"
"13.67300","50.28582","49.88003"
"13.77300","49.78562","49.11243"
"13.87300","49.28579","48.36366"
"13.97300","48.78576","47.63842"
"14.07300","48.28569","46.90804"
"14.17300","47.78558","46.16625"
"14.27300","47.28586","45.52189"
"14.37300","46.78583","44.89178"
"14.47300","46.28574","44.28450"
"14.57300","45.78560","43.74191"
"14.67300","45.28596","43.17706"
"14.77300","44.78590","42.54961"
"14.87300","44.28563","41.79811"
"14.97300","43.78562","41.08907"
"15.07300","43.28592","40.41956"
"15.17300","42.78579","39.95661"
"15.27300","42.28564","39.51211"
"15.37300","41.78574","39.09890"
"15.47300","41.28580","38.75319"
"15.57300","40.78587","38.41682"
"15.67300","40.28556","38.11523"
"15.77300","39.78590","37.86133"
"15.87300","39.28585","37.57265"
"15.97300","38.78563","37.26896"
"16.07300","38.28565","36.89395"
"16.17300","37.78593","36.59280"
"16.27300","37.28578","36.29620"
"16.37300","36.78565","35.94535"
"16.47300","36.28566","35.67050"
"16.57300","35.78591","35.31976"
"16.67300","35.28574","34.95272"
"16.77300","34.78565","34.56615"
"16.87300","34.28579","34.17287"
"16.97300","33.78585","33.65677"
"17.07300","33.28566","33.02414"
"17.17300","32.78566","32.43073"
"17.27300","32.28587","31.77680"
"17.37300","31.78582","31.13790"
"17.47300","31.28569","30.61755"
"17.57300","30.78562","29.92512"
"17.67300","30.28589","29.25476"
"17.77300","29.78585","28.64025"
"17.87300","29.28562","28.03591"
"17.97300","28.78567","27.42577"
"18.07300","28.28586","26.86140"
"18.17300","27.78572","26.29939"
"18.27300","27.28559","25.77338"
"18.37300","26.78583","25.30080"
"18.47300","26.28590","24.85322"
"18.57300","25.78566","24.46128"
"18.67300","25.28570","24.09320"
"18.77300","24.78589","23.74953"
"18.87300","24.28584","23.40794"
"18.97300","23.78561","22.98506"
"19.07300","23.28564","22.59025"
"19.17300","22.78587","22.21101"
"19.27300","22.28570","21.88229"
"19.37300","21.78569","21.51951"
"19.47300","21.28573","21.15786"
"19.57300","20.78585","20.70940"
"19.67300","20.28569","20.28168"
"19.77300","19.78560","19.89292"
"19.87300","19.28604","19.40945"
"19.97300","18.78584","18.96161"
"20.07300","18.28564","18.46353"
"20.17300","17.78566","18.01842"
"20.27300","17.28587","17.55671"
"20.37300","16.78582","17.11870"
"20.47300","16.28569","16.66933"
"20.57300","15.78564","16.30851"
"20.67300","15.28586","15.87134"
"20.77300","14.78581","15.38231"
"20.87300","14.28568","14.87414"
"20.97300","13.78570","14.35145"
"21.07300","13.28583","13.86681"
"21.17300","12.78575","13.28824"
"21.27300","12.28569","12.67223"
"21.37300","11.78579","12.03154"
"21.47300","11.28592","11.39178"
"21.57300","10.78563","10.84327"
"21.67300","10.28569","10.27319"
"21.77300","9.78589","9.67206"
"21.87300","9.28569","9.05065"
