Time,Extension,Load
(s),(mm),(N)
"0.00000","0.02784","5.04741"
"0.10000","0.46124","5.39901"
"0.20000","0.99069","5.85398"
"0.30000","1.49193","6.27265"
"0.40000","1.99174","6.67755"
"0.50000","2.49166","6.98528"
"0.60000","2.99192","7.42763"
"0.70000","3.49188","7.77258"
"0.80000","3.99161","8.13635"
"0.90000","4.49165","8.48151"
"1.00000","4.99195","8.78915"
"1.10000","5.49184","9.13057"
"1.20000","5.99157","9.43143"
"1.30000","6.49186","9.71946"
"1.40000","6.99187","10.00058"
"1.50000","7.49179","10.29978"
"1.60000","7.99157","10.80687"
"1.70000","8.49191","11.34694"
"1.80000","8.99185","11.77764"
"1.90000","9.49162","12.17248"
"2.00000","9.99167","12.58162"
"2.10000","10.49194","13.01572"
"2.20000","10.99182","13.33344"
"2.30000","11.49156","13.61912"
"2.40000","11.99181","13.97261"
"2.50000","12.49193","14.28228"
"2.60000","12.99177","14.58328"
"2.70000","13.49158","14.89295"
"2.80000","13.99184","15.20107"
"2.90000","14.49189","15.50862"
"3.00000","14.99170","15.78485"
"3.10000","15.49160","16.08416"
"3.20000","15.99195","16.43960"
"3.30000","16.49189","16.74222"
"3.40000","16.99165","17.11312"
"3.50000","17.49159","17.50820"
"3.60000","17.99202","17.81155"
"3.70000","18.49178","18.15357"
"3.80000","18.99158","18.49064"
"3.90000","19.49171","18.83900"
"4.00000","19.99199","19.17011"
"4.10000","20.49174","19.63560"
"4.20000","20.99171","20.05217"
"4.30000","21.49180","20.46485"
"4.40000","21.99192","20.87916"
"4.50000","22.49162","21.34267"
"4.60000","22.99166","21.74716"
"4.70000","23.49193","22.27430"
"4.80000","23.99182","22.74200"
"4.90000","24.49159","23.21766"
"5.00000","24.99172","23.70207"
"5.10000","25.49200","24.18247"
"5.20000","25.99180","24.62808"
"5.30000","26.49156","25.07786"
"5.40000","26.99190","25.52003"
"5.50000","27.49192","25.97689"
"5.60000","27.99170","26.42933"
"5.70000","28.49159","26.83350"
"5.80000","28.99189","27.20070"
"5.90000","29.49185","27.52031"
"6.00000","29.99167","27.84523"
"6.10000","30.49167","28.13859"
"6.20000","30.99198","28.41892"
"6.30000","31.49182","28.66825"
"6.40000","31.99154","29.02325"
