Time,Extension,Load
(s),(mm),(N)
0,0.07931,4.93745
0.1,0.41297,5.24695
0.2,0.95481,5.75154
0.3,1.4561,6.20928
0.4,1.95608,6.63809
0.5,2.45625,7.02634
0.6,2.95635,7.3749
0.7,3.45591,7.75481
0.8,3.95616,8.23563
0.9,4.45634,8.76711
1,4.95627,9.27579
1.1,5.45592,9.72649
1.2,5.95611,10.22257
1.3,6.4564,10.61488
1.4,6.95628,11.0188
1.5,7.45597,11.3469
1.6,7.95607,11.68663
1.7,8.45636,12.0601
1.8,8.95614,12.38304
1.9,9.45598,12.74235
2,9.95627,13.0539
2.1,10.45632,13.40744
2.2,10.956,13.72914
2.3,11.4561,14.06472
2.4,11.95633,14.40035
2.5,12.45628,14.72706
2.6,12.95594,14.99342
2.7,13.45619,15.35828
2.8,13.95629,15.69292
2.9,14.4563,16.00018
3,14.95594,16.3207
3.1,15.45615,16.68304
3.2,15.9564,17.01069
3.3,16.45608,17.35348
3.4,16.95602,17.7373
3.5,17.45625,18.05655
3.6,17.95627,18.47326
3.7,18.45596,18.80422
3.8,18.95613,19.16344
3.9,19.45636,19.57023
4,19.95627,20.10859
4.1,20.45595,20.51879
4.2,20.95618,20.99325
4.3,21.45629,21.38495
4.4,21.95621,21.80289
4.5,22.45594,22.2122
4.6,22.95621,22.58571
4.7,23.45635,22.97866
4.8,23.95613,23.39806
4.9,24.45597,23.80953
5,24.95631,24.20282
5.1,25.45631,24.62346
5.2,25.95601,25.08663
5.3,26.45613,25.57694
5.4,26.9563,26.02641
5.5,27.45622,26.49537
5.6,27.95592,26.90426
5.7,28.45621,27.32858
5.8,28.95636,27.71268
5.9,29.45615,27.9062
6,29.95594,27.93851
6.1,30.45628,27.93793
6.2,30.95631,28.33949
6.3,31.45606,28.8436
6.4,31.95595,29.28075
6.5,32.45634,29.73358
6.6,32.95626,30.25955
6.7,33.45603,30.67176
6.8,33.95605,31.15496
6.9,34.45648,31.64581
7,34.95622,32.06853
7.1,35.45594,32.46394
7.2,35.95619,32.91344
7.3,36.45638,33.53846
7.4,36.9561,34.30719
7.5,37.45591,35.11416
7.6,37.95631,35.86821
7.7,38.45631,36.50436
7.8,38.95604,37.1342
7.9,39.45612,37.72508
8,39.95637,38.37884
8.1,40.45628,39.09048
8.2,40.95603,39.77959
8.3,41.45606,40.4793
8.4,41.95641,41.14757
8.5,42.45612,41.71755
8.6,42.95599,42.27359
8.7,43.4562,42.65824
8.8,43.95638,42.52157
8.9,44.45613,42.46859
9,44.95608,43.15552
9.1,45.45631,43.80743
9.2,45.95611,44.4305
9.3,46.45608,45.05351
9.4,46.9561,45.59513
9.5,47.45633,46.28407
9.6,47.95618,46.9296
9.7,48.45594,47.55031
,,
,,
,,
,,
,,
,,
,,
,,
10.061,48.46654,44.38587
10.161,47.96175,43.05808
10.261,47.46125,41.9254
10.361,46.96135,40.7943
10.461,46.4614,39.73603
10.561,45.96124,38.62755
10.661,45.46139,37.6556
10.761,44.96147,36.64062
10.861,44.46143,35.67638
10.961,43.96124,34.729
11.061,43.4613,33.77054
11.161,42.96152,32.81896
11.261,42.46137,31.91791
11.361,41.96121,30.96224
11.461,41.46128,30.08604
11.561,40.96156,29.26749
11.661,40.46127,28.53634
11.761,39.96125,28.02322
11.861,39.46144,27.59796
11.961,38.96146,27.15085
12.061,38.46128,26.68677
12.161,37.96129,26.32825
12.261,37.46144,25.8803
12.361,36.96144,25.50159
12.461,36.46114,25.15203
12.561,35.96132,24.84106
12.661,35.46142,24.53221
12.761,34.96141,24.19171
12.861,34.46124,23.88755
12.961,33.96131,23.49517
13.061,33.46151,23.21417
13.161,32.96134,22.87988
