Time,Extension,Load
(s),(mm),(N)
"0.00000","0.01367","4.95661"
"0.10000","0.37909","5.64184"
"0.20000","0.91956","6.22088"
"0.30000","1.42077","6.57651"
"0.40000","1.92095","6.97466"
"0.50000","2.42110","7.29229"
"0.60000","2.92101","7.66093"
"0.70000","3.42077","7.97774"
"0.80000","3.92095","8.30006"
"0.90000","4.42108","8.67750"
"1.00000","4.92081","9.04758"
"1.10000","5.42081","9.35459"
"1.20000","5.92101","9.64862"
"1.30000","6.42112","10.02921"
"1.40000","6.92068","10.27699"
"1.50000","7.42085","10.62740"
"1.60000","7.92105","10.93195"
"1.70000","8.42099","11.17152"
"1.80000","8.92074","11.52852"
"1.90000","9.42089","11.83161"
"2.00000","9.92107","12.08739"
"2.10000","10.42102","12.34944"
"2.20000","10.92064","12.70524"
"2.30000","11.42106","12.94068"
"2.40000","11.92108","13.24826"
"2.50000","12.42083","13.52082"
"2.60000","12.92073","13.82470"
"2.70000","13.42104","14.08625"
"2.80000","13.92102","14.77065"
"2.90000","14.42073","15.25637"
"3.00000","14.92082","15.51160"
"3.10000","15.42109","16.06926"
"3.20000","15.92101","16.86644"
"3.30000","16.42084","17.80836"
"3.40000","16.92090","18.76191"
"3.50000","17.42106","19.86308"
"3.60000","17.92088","21.20384"
"3.70000","18.42079","22.52324"
"3.80000","18.92102","23.83375"
"3.90000","19.42104","25.00718"
"4.00000","19.92073","26.31138"
"4.10000","20.42088","27.47590"
"4.20000","20.92116","28.77061"
"4.30000","21.42089","29.99573"
"4.40000","21.92079","31.23436"
"4.50000","22.42091","32.38258"
"4.60000","22.92109","33.58101"
"4.70000","23.42095","34.71947"
"4.80000","23.92073","35.61541"
"4.90000","24.42097","36.56994"
"5.00000","24.92101","37.51716"
"5.10000","25.42096","38.51304"
"5.20000","25.92075","39.45724"
"5.30000","26.42108","40.43048"
"5.40000","26.92099","41.39814"
"5.50000","27.42077","42.28120"
"5.60000","27.92082","43.22839"
"5.70000","28.42111","44.15231"
"5.80000","28.92103","45.12763"
"5.90000","29.42073","46.04388"
"6.00000","29.92082","47.08405"
"6.10000","30.42118","48.01944"
"6.20000","30.92100","48.92966"
"6.30000","31.42085","49.84748"
"6.40000","31.92080","50.81458"
"6.50000","32.42109","51.75579"
"6.60000","32.92087","52.68977"
"6.70000","33.42074","53.59909"
"6.80000","33.92107","54.57718"
"6.90000","34.42090","55.47800"
"7.00000","34.92079","56.37840"
"7.10000","35.42090","57.32909"
"7.20000","35.92120","58.24331"
"7.30000","36.42094","59.23563"
"7.40000","36.92074","60.19320"
"7.50000","37.42089","61.14613"
"7.60000","37.92112","62.09463"
"7.70000","38.42091","62.99979"
"7.80000","38.92072","63.29361"
"7.90000","39.42100","63.90773"
"8.00000","39.92102","64.81244"
"8.10000","40.42085","65.72794"
"8.20000","40.92086","66.61496"
"8.30000","41.42112","67.49821"
"8.40000","41.92097","68.36868"
"8.50000","42.42072","69.28175"
"8.60000","42.92088","70.12908"
"8.70000","43.42115","70.92595"
"8.80000","43.92087","71.71280"
"8.90000","44.42078","72.43919"
"9.00000","44.92086","73.07781"
"9.10000","45.42118","85.19257"
"9.14500","45.64584","100.26279"
"9.14600","45.65083","100.65496"
"9.18400","45.80827","125.79388"
"9.21500","45.73460","99.74805"
"9.24200","45.52763","74.44653"
"9.34200","44.89619","69.98129"
"9.44200","44.39124","68.02968"
"9.54200","43.89057","66.31689"
"9.64200","43.39057","64.73726"
"9.74200","42.89046","63.19725"
"9.84200","42.39073","61.71352"
"9.94200","41.89062","60.33578"
"10.04200","41.39048","58.91621"
"10.14200","40.89061","57.55370"
"10.24200","40.39072","56.24267"
"10.34200","39.89054","55.16612"
"10.44200","39.39051","53.98994"
"10.54200","38.89062","52.84533"
"10.64200","38.39066","51.68672"
"10.74200","37.89044","50.55662"
"10.84200","37.39052","49.46393"
