Time,Extension,Load
(s),(mm),(N)
"0.00000","1.01054","5.27608"
"0.10000","1.34712","6.04383"
"0.20000","1.87362","7.16178"
"0.30000","2.37469","8.23566"
"0.40000","2.87424","9.18166"
"0.50000","3.37469","10.15117"
"0.60000","3.87477","11.03489"
"0.70000","4.37453","11.88353"
"0.80000","4.87441","12.71262"
"0.90000","5.37477","13.56110"
"1.00000","5.87464","14.72635"
"1.10000","6.37444","15.77259"
"1.20000","6.87448","16.89061"
"1.30000","7.37481","17.93447"
"1.40000","7.87465","19.05640"
"1.50000","8.37434","20.03063"
"1.60000","8.87455","20.86009"
"1.70000","9.37477","21.75881"
"1.80000","9.87468","22.47471"
"1.90000","10.37434","23.23472"
"2.00000","10.87462","24.02298"
"2.10000","11.37480","24.72309"
"2.20000","11.87451","25.46109"
"2.30000","12.37443","26.18536"
"2.40000","12.87485","26.88469"
"2.50000","13.37451","27.57958"
"2.60000","13.87444","28.23648"
"2.70000","14.37454","28.87943"
"2.80000","14.87484","29.46749"
"2.90000","15.37457","30.09860"
"3.00000","15.87438","30.70214"
"3.10000","16.37458","31.25467"
"3.20000","16.87491","31.88316"
"3.30000","17.37457","32.48226"
"3.40000","17.87435","33.10527"
"3.50000","18.37465","33.68957"
"3.60000","18.87474","34.21746"
"3.70000","19.37443","34.74529"
"3.80000","19.87441","35.27809"
"3.90000","20.37480","35.76738"
"4.00000","20.87461","36.29547"
"4.10000","21.37446","36.80790"
"4.20000","21.87459","37.34219"
"4.30000","22.37481","37.90617"
"4.40000","22.87456","38.41584"
"4.50000","23.37438","38.96850"
"4.60000","23.87464","39.45316"
"4.70000","24.37476","39.94810"
"4.80000","24.87457","40.43879"
"4.90000","25.37440","40.90277"
"5.00000","25.87467","41.32286"
"5.10000","26.37480","41.81216"
"5.20000","26.87443","42.33160"
"5.30000","27.37448","42.83480"
"5.40000","27.87476","43.32537"
"5.50000","28.37462","43.77887"
"5.60000","28.87440","44.27157"
"5.70000","29.37457","44.75496"
"5.80000","29.87482","45.18847"
"5.90000","30.37459","45.67279"
"6.00000","30.87445","46.09883"
"6.10000","31.37465","46.66119"
"6.20000","31.87480","47.28969"
"6.30000","32.37449","47.98647"
"6.40000","32.87444","48.61825"
"6.50000","33.37463","49.19333"
"6.60000","33.87476","49.69798"
"6.70000","34.37449","50.23460"
"6.80000","34.87436","50.82050"
"6.90000","35.37484","51.41043"
"7.00000","35.87468","52.00311"
"7.10000","36.37442","52.57206"
"7.20000","36.87458","53.09541"
"7.30000","37.37481","53.67245"
"7.40000","37.87455","54.20691"
"7.50000","38.37440","54.64428"
"7.60000","38.87469","55.23822"
"7.70000","39.37477","55.71872"
"7.80000","39.87447","56.21869"
"7.90000","40.37445","56.76458"
"8.00000","40.87474","57.29203"
"8.10000","41.37472","57.80801"
"8.20000","41.87444","58.38518"
"8.30000","42.37450","58.96215"
"8.40000","42.87476","59.52578"
"8.50000","43.37466","60.07701"
"8.60000","43.87439","60.62042"
"8.70000","44.37460","61.16394"
"8.80000","44.87493","61.63222"
"8.90000","45.37439","62.06055"
"9.00000","45.87449","62.51141"
"9.10000","46.37466","63.05981"
"9.20000","46.87475","63.74729"
"9.30000","47.37442","64.34488"
"9.40000","47.87447","64.99878"
"9.50000","48.37466","65.66998"
"9.60000","48.87475","66.32236"
"9.70000","49.37441","67.08478"
"9.80000","49.87457","67.81469"
"9.90000","50.37476","68.61068"
"10.00000","50.87464","69.37128"
"10.10000","51.37440","70.12248"
"10.20000","51.87459","70.91726"
"10.30000","52.37483","71.74059"
"10.40000","52.87442","72.47517"
"10.50000","53.37440","73.24320"
"10.60000","53.87471","74.09158"
"10.70000","54.37475","74.87278"
"10.80000","54.87449","75.60506"
"10.90000","55.37459","76.44843"
"11.00000","55.87459","77.23750"
"11.10000","56.37471","77.96674"
"11.20000","56.87443","78.69842"
"11.30000","57.37462","79.43728"
"11.40000","57.87469","80.12315"
"11.50000","58.37458","86.44473"
"11.58700","58.80941","100.02677"
"11.58800","58.81441","100.15965"
"11.68800","58.65836","81.65234"
"11.78800","58.03959","78.57095"
"11.88800","57.53485","77.00047"
"11.98800","57.03439","75.51472"
"12.08800","56.53426","74.14577"
"12.18800","56.03433","72.80109"
"12.28800","55.53477","71.53858"
"12.38800","55.03430","70.32903"
"12.48800","54.53423","69.21207"
"12.58800","54.03452","68.12449"
"12.68800","53.53454","67.04789"
"12.78800","53.03431","66.01252"
"12.88800","52.53425","65.03940"
"12.98800","52.03452","64.12335"
"13.08800","51.53447","63.19416"
"13.18800","51.03423","62.33938"
"13.28800","50.53439","61.51338"
"13.38800","50.03456","60.69038"
"13.48800","49.53440","59.97626"
"13.58800","49.03425","59.26976"
"13.68800","48.53448","58.48674"
"13.78800","48.03457","57.82872"
"13.88800","47.53431","57.11122"
"13.98800","47.03419","56.45594"
"14.08800","46.53455","55.83194"
"14.18800","46.03448","55.25505"
"14.28800","45.53424","54.75185"
"14.38800","45.03442","54.18048"
"14.48800","44.53453","53.63303"
"14.58800","44.03440","53.03709"
"14.68800","43.53435","52.48679"
"14.78800","43.03443","51.94450"
"14.88800","42.53453","51.38536"
"14.98800","42.03429","50.87500"
"15.08800","41.53434","50.35795"
"15.18800","41.03442","50.04697"
"15.28800","40.53456","50.05480"
"15.38800","40.03433","49.27449"
"15.48800","39.53424","48.41437"
"15.58800","39.03453","47.66654"
"15.68800","38.53454","47.06303"
"15.78800","38.03430","46.35094"
"15.88800","37.53430","45.65899"
"15.98800","37.03456","44.93601"
"16.08800","36.53439","44.28528"
"16.18800","36.03433","43.61397"
"16.28800","35.53442","42.92806"
"16.38800","35.03456","42.28748"
"16.48800","34.53424","41.56914"
"16.58800","34.03434","40.89790"
"16.68800","33.53446","40.18343"
"16.78800","33.03459","39.42821"
"16.88800","32.53430","38.76844"
"16.98800","32.03426","38.01225"
"17.08800","31.53449","37.37506"
"17.18800","31.03455","36.70187"
"17.28800","30.53425","36.18485"
"17.38800","30.03442","35.66605"
"17.48800","29.53449","35.25580"
"17.58800","29.03434","34.81360"
"17.68800","28.53433","34.40108"
"17.78800","28.03449","33.91345"
"17.88800","27.53453","33.55165"
"17.98800","27.03424","33.12185"
"18.08800","26.53432","32.65831"
"18.18800","26.03448","32.16539"
"18.28800","25.53456","31.75163"
"18.38800","25.03425","31.29514"
"18.48800","24.53428","30.86634"
"18.58800","24.03445","30.44389"
"18.68800","23.53463","29.98362"
"18.78800","23.03424","29.55544"
"18.88800","22.53436","29.08173"
"18.98800","22.03456","28.58718"
"19.08800","21.53437","28.12980"
"19.18800","21.03426","27.59662"
"19.28800","20.53452","27.10730"
"19.38800","20.03455","26.63476"
"19.48800","19.53424","26.14849"
"19.58800","19.03427","25.68108"
"19.68800","18.53456","25.19167"
"19.78800","18.03455","24.67767"
"19.88800","17.53426","24.10842"
"19.98800","17.03434","23.58388"
"20.08800","16.53454","23.02713"
"20.18800","16.03446","22.50686"
"20.28800","15.53423","21.96635"
"20.38800","15.03442","21.39729"
"20.48800","14.53453","20.84336"
"20.58800","14.03433","20.21704"
"20.68800","13.53422","19.66046"
"20.78800","13.03468","19.05471"
"20.88800","12.53446","18.42415"
"20.98800","12.03419","17.76734"
"21.08800","11.53435","17.14848"
"21.18800","11.03452","16.44869"
"21.28800","10.53450","15.81183"
"21.38800","10.03422","15.11989"
"21.48800","9.53437","14.47805"
"21.58800","9.03449","13.56476"
"21.68800","8.53445","12.63391"
"21.78800","8.03428","11.78967"
"21.88800","7.53441","11.08291"
"21.98800","7.03455","10.23968"
"22.08800","6.53435","9.43989"
"22.18800","6.03428","8.77277"
"22.28800","5.53447","8.00283"
"22.38800","5.03453","7.27533"
"22.48800","4.53419","6.46072"
"22.58800","4.03435","5.67747"
"22.68800","3.53459","4.88432"
"22.78800","3.03447","3.96164"
"22.88800","2.53430","3.03466"
"22.98800","2.03438","2.25091"
"23.08800","1.53452","1.35601"
"23.18800","1.03448","0.45354"
"23.24500","0.74947","-0.00173"
