Time,Extension,Load
(s),(mm),(N)
"0.00000","1.54057","5.08073"
"0.10000","2.02382","5.96741"
"0.20000","2.52256","7.10860"
"0.30000","3.02293","8.20467"
"0.40000","3.52271","9.19418"
"0.50000","4.02256","10.11983"
"0.60000","4.52269","10.98669"
"0.70000","5.02290","11.85501"
"0.80000","5.52262","12.82532"
"0.90000","6.02241","14.14101"
"1.00000","6.52274","15.41393"
"1.10000","7.02281","16.61555"
"1.20000","7.52264","17.65654"
"1.30000","8.02242","18.58097"
"1.40000","8.52283","19.55237"
"1.50000","9.02280","20.45121"
"1.60000","9.52250","21.37291"
"1.70000","10.02265","22.24985"
"1.80000","10.52295","23.13264"
"1.90000","11.02250","23.97014"
"2.00000","11.52247","24.77758"
"2.10000","12.02275","25.55927"
"2.20000","12.52289","26.32006"
"2.30000","13.02256","27.08850"
"2.40000","13.52247","27.89215"
"2.50000","14.02276","28.66944"
"2.60000","14.52293","29.44769"
"2.70000","15.02256","30.19603"
"2.80000","15.52249","30.87668"
"2.90000","16.02280","31.58764"
"3.00000","16.52272","32.30061"
"3.10000","17.02251","33.01195"
"3.20000","17.52258","33.66202"
"3.30000","18.02290","34.39753"
"3.40000","18.52260","35.06698"
"3.50000","19.02256","35.70460"
"3.60000","19.52275","36.41772"
"3.70000","20.02283","37.04961"
"3.80000","20.52259","37.70284"
"3.90000","21.02249","38.31175"
"4.00000","21.52279","38.95595"
"4.10000","22.02274","39.59599"
"4.20000","22.52255","40.26036"
"4.30000","23.02258","40.82638"
"4.40000","23.52282","41.39056"
"4.50000","24.02278","42.03393"
"4.60000","24.52253","42.63503"
"4.70000","25.02266","43.26387"
"4.80000","25.52286","43.87949"
"4.90000","26.02261","44.41392"
"5.00000","26.52248","45.11445"
"5.10000","27.02272","45.90534"
"5.20000","27.52283","46.71604"
"5.30000","28.02260","47.44175"
"5.40000","28.52256","48.18897"
"5.50000","29.02280","48.94841"
"5.60000","29.52278","49.71637"
"5.70000","30.02251","50.39269"
"5.80000","30.52259","51.09904"
"5.90000","31.02284","51.72163"
"6.00000","31.52270","52.29494"
"6.10000","32.02256","52.85750"
"6.20000","32.52252","53.47400"
"6.30000","33.02293","54.05188"
"6.40000","33.52264","54.72453"
"6.50000","34.02255","55.31366"
"6.60000","34.52274","55.95182"
"6.70000","35.02286","56.58376"
"6.80000","35.52251","57.11819"
"6.90000","36.02257","57.74876"
"7.00000","36.52278","58.37013"
"7.10000","37.02277","58.95292"
"7.20000","37.52252","59.61036"
"7.30000","38.02261","60.23903"
"7.40000","38.52283","60.88884"
"7.50000","39.02268","61.56141"
"7.60000","39.52256","62.25935"
"7.70000","40.02267","62.98063"
"7.80000","40.52287","63.70732"
"7.90000","41.02259","64.41524"
"8.00000","41.52253","65.08923"
"8.10000","42.02274","65.72047"
"8.20000","42.52296","66.43040"
"8.30000","43.02237","67.01415"
"8.40000","43.52264","67.64843"
"8.50000","44.02279","68.34803"
"8.60000","44.52277","68.99107"
"8.70000","45.02249","69.66279"
"8.80000","45.52266","70.31684"
"8.90000","46.02271","71.04936"
"9.00000","46.52274","71.74583"
"9.10000","47.02251","72.50465"
"9.20000","47.52276","73.26216"
"9.30000","48.02285","74.05379"
"9.40000","48.52254","74.78403"
"9.50000","49.02254","75.53291"
"9.60000","49.52276","76.20950"
"9.70000","50.02288","76.90022"
"9.80000","50.52241","77.61179"
"9.90000","51.02261","78.28185"
"10.00000","51.52281","79.01041"
"10.10000","52.02275","79.67764"
"10.20000","52.52259","80.37199"
"10.30000","53.02278","81.04728"
"10.40000","53.52270","81.76757"
"10.50000","54.02267","82.41956"
"10.60000","54.52256","83.07508"
"10.70000","55.02280","83.66371"
"10.80000","55.52272","94.47234"
"10.83000","55.67272","100.08378"
"10.83100","55.67771","100.25315"
"10.93100","55.52179","84.30713"
"11.03100","54.90266","81.75144"
"11.13100","54.39789","80.10901"
"11.23100","53.89775","78.66185"
"11.33100","53.39759","77.27563"
"11.43100","52.89755","76.02950"
"11.53100","52.39760","74.97769"
"11.63100","51.89773","74.02984"
"11.73100","51.39756","73.00627"
"11.83100","50.89756","71.99129"
"11.93100","50.39762","71.02930"
"12.03100","49.89771","70.00750"
"12.13100","49.39741","69.05064"
"12.23100","48.89758","68.02049"
"12.33100","48.39775","67.11648"
"12.43100","47.89766","66.20331"
"12.53100","47.39748","65.31004"
"12.63100","46.89763","64.50007"
"12.73100","46.39780","63.76511"
"12.83100","45.89755","63.08459"
"12.93100","45.39752","62.42203"
"13.03100","44.89757","61.76820"
"13.13100","44.39777","61.08215"
"13.23100","43.89743","60.39573"
"13.33100","43.39754","59.65663"
"13.43100","42.89767","59.00757"
"13.53100","42.39784","58.36396"
"13.63100","41.89736","57.71264"
"13.73100","41.39762","57.06446"
"13.83100","40.89784","56.38165"
"13.93100","40.39762","55.63458"
"14.03100","39.89734","54.98660"
"14.13100","39.39769","54.35150"
"14.23100","38.89774","53.74414"
"14.33100","38.39759","53.13839"
"14.43100","37.89750","52.57520"
"14.53100","37.39767","52.03996"
"14.63100","36.89770","51.71033"
"14.73100","36.39750","51.24078"
"14.83100","35.89761","50.75018"
"14.93100","35.39766","49.70336"
"15.03100","34.89769","48.70815"
"15.13100","34.39739","47.84692"
"15.23100","33.89766","47.03210"
"15.33100","33.39774","46.21704"
"15.43100","32.89762","45.48184"
"15.53100","32.39730","44.65204"
"15.63100","31.89781","43.88789"
"15.73100","31.39771","43.08865"
"15.83100","30.89757","42.27285"
"15.93100","30.39750","41.43612"
"16.03100","29.89767","40.62407"
"16.13100","29.39768","39.79043"
"16.23100","28.89753","39.02671"
"16.33100","28.39756","38.20793"
"16.43100","27.89775","37.43310"
"16.53100","27.39761","36.75800"
"16.63100","26.89739","36.13871"
"16.73100","26.39767","35.54575"
"16.83100","25.89778","35.03122"
"16.93100","25.39757","34.50446"
"17.03100","24.89736","33.97094"
"17.13100","24.39770","33.42619"
"17.23100","23.89772","32.87286"
"17.33100","23.39751","32.26732"
"17.43100","22.89748","31.72135"
"17.53100","22.39774","31.17155"
"17.63100","21.89759","30.63435"
"17.73100","21.39765","30.07507"
"17.83100","20.89756","29.52196"
"17.93100","20.39774","28.95509"
"18.03100","19.89759","28.36563"
"18.13100","19.39742","27.79066"
"18.23100","18.89764","27.16999"
"18.33100","18.39771","26.56597"
"18.43100","17.89761","26.01718"
"18.53100","17.39736","25.35260"
"18.63100","16.89766","24.76198"
"18.73100","16.39776","24.16300"
"18.83100","15.89756","23.52321"
"18.93100","15.39751","22.88910"
"19.03100","14.89776","22.24383"
"19.13100","14.39766","21.60137"
"19.23100","13.89747","20.97493"
"19.33100","13.39756","20.29577"
"19.43100","12.89772","19.63280"
"19.53100","12.39765","18.92416"
"19.63100","11.89741","18.23345"
"19.73100","11.39762","17.53790"
"19.83100","10.89781","16.82507"
"19.93100","10.39761","16.13936"
"20.03100","9.89741","15.31623"
"20.13100","9.39767","14.59357"
"20.23100","8.89775","13.81883"
"20.33100","8.39752","12.90614"
"20.43100","7.89747","12.02652"
"20.53100","7.39783","11.00038"
"20.63100","6.89758","9.99117"
"20.73100","6.39753","9.26288"
"20.83100","5.89762","8.52640"
"20.93100","5.39779","7.69426"
"21.03100","4.89760","6.91818"
"21.13100","4.39746","6.07486"
"21.23100","3.89765","5.23477"
"21.33100","3.39771","4.39094"
"21.43100","2.89757","3.57162"
"21.53100","2.39744","2.81865"
"21.63100","1.89771","1.97975"
"21.73100","1.39769","1.11844"
"21.83100","0.89755","0.30185"
"21.86100","0.74766","-0.00504"
