Time,Extension,Load
(s),(mm),(N)
"0.00000","0.49846","5.85316"
"0.10000","0.90139","8.54971"
"0.20000","1.41642","11.62502"
"0.30000","1.91729","14.53574"
"0.40000","2.41719","17.24615"
"0.50000","2.91698","19.80663"
"0.60000","3.41733","22.28542"
"0.70000","3.91715","24.58522"
"0.80000","4.41710","26.82979"
"0.90000","4.91703","28.93053"
"1.00000","5.41724","30.86500"
"1.10000","5.91729","32.77854"
"1.20000","6.41691","34.54491"
"1.30000","6.91707","36.30771"
"1.40000","7.41732","38.05984"
"1.50000","7.91721","39.74757"
"1.60000","8.41703","41.35548"
"1.70000","8.91713","42.32062"
"1.80000","9.41733","43.45828"
"1.90000","9.91710","45.34379"
"2.00000","10.41703","47.37518"
"2.10000","10.91715","49.63046"
"2.20000","11.41735","51.86187"
"2.30000","11.91697","54.08681"
"2.40000","12.41698","56.16621"
"2.50000","12.91724","58.25093"
"2.60000","13.41734","60.32952"
"2.70000","13.91703","62.29031"
"2.80000","14.41692","64.25465"
"2.90000","14.91737","66.14325"
"3.00000","15.41724","67.93654"
"3.10000","15.91699","69.66420"
"3.20000","16.41716","71.36534"
"3.30000","16.91722","72.92941"
"3.40000","17.41709","74.47215"
"3.50000","17.91699","75.99818"
"3.60000","18.41733","77.53038"
"3.70000","18.91727","78.98418"
"3.80000","19.41696","80.43954"
"3.90000","19.91701","81.79166"
"4.00000","20.41735","83.14412"
"4.10000","20.91729","84.44829"
"4.20000","21.41688","85.72158"
"4.30000","21.91705","86.92728"
"4.40000","22.41731","88.07137"
"4.50000","22.91717","89.20728"
"4.60000","23.41696","90.19534"
"4.70000","23.91718","91.21758"
"4.80000","24.41726","92.16653"
"4.90000","24.91709","93.12445"
"5.00000","25.41701","93.78480"
"5.10000","25.91728","94.65151"
"5.20000","26.41723","95.68044"
"5.30000","26.91699","96.74629"
"5.40000","27.41704","97.78381"
"5.50000","27.91730","98.81580"
"5.60000","28.41730","99.81699"
"5.61900","28.51242","100.00117"
"5.62000","28.51743","100.01077"
"5.72000","28.36334","98.13008"
"5.82000","27.74261","94.80146"
"5.92000","27.23758","92.25996"
"6.02000","26.73756","89.86691"
"6.12000","26.23740","87.58025"
"6.22000","25.73727","85.32719"
"6.32000","25.23717","83.15514"
"6.42000","24.73765","81.00185"
"6.52000","24.23729","78.85731"
"6.62000","23.73726","76.73783"
"6.72000","23.23725","74.72916"
"6.82000","22.73754","72.70353"
"6.92000","22.23738","70.69539"
"7.02000","21.73721","68.68129"
"7.12000","21.23742","66.77186"
"7.22000","20.73749","64.76363"
"7.32000","20.23733","62.77213"
"7.42000","19.73717","60.81800"
"7.52000","19.23748","58.81688"
"7.62000","18.73745","56.86788"
"7.72000","18.23733","54.95205"
"7.82000","17.73718","53.00743"
"7.92000","17.23751","51.04622"
"8.02000","16.73742","49.05974"
"8.12000","16.23727","47.08844"
"8.22000","15.73724","45.00412"
"8.32000","15.23750","42.95130"
"8.42000","14.73732","40.80587"
"8.52000","14.23722","38.65372"
"8.62000","13.73739","36.58531"
"8.72000","13.23753","34.45204"
"8.82000","12.73724","32.31071"
"8.92000","12.23726","30.28788"
"9.02000","11.73753","28.19757"
"9.12000","11.23742","26.22136"
"9.22000","10.73723","24.31977"
"9.32000","10.23728","22.49629"
"9.42000","9.73755","20.85578"
"9.52000","9.23730","19.22415"
"9.62000","8.73724","17.55412"
"9.72000","8.23734","15.91389"
"9.82000","7.73754","14.25094"
"9.92000","7.23725","12.55937"
"10.02000","6.73728","10.94913"
"10.12000","6.23739","9.26550"
"10.22000","5.73753","7.50296"
"10.32000","5.23719","5.88222"
"10.42000","4.73728","4.12765"
"10.52000","4.23750","2.52899"
"10.62000","3.73736","0.92132"
"10.68200","3.42746","-0.00407"
