Time,Extension,Load
(s),(mm),(N)
"0.00000","0.66606","6.17543"
"0.10000","1.10602","9.46614"
"0.20000","1.61281","12.73639"
"0.30000","2.11336","15.11011"
"0.40000","2.61325","18.25187"
"0.50000","3.11310","21.21522"
"0.60000","3.61327","24.10784"
"0.70000","4.11338","26.92765"
"0.80000","4.61317","29.57561"
"0.90000","5.11317","32.12843"
"1.00000","5.61329","34.62897"
"1.10000","6.11341","37.03198"
"1.20000","6.61295","39.31890"
"1.30000","7.11318","41.57003"
"1.40000","7.61334","43.79557"
"1.50000","8.11329","45.95954"
"1.60000","8.61312","48.13949"
"1.70000","9.11315","50.26071"
"1.80000","9.61345","52.31515"
"1.90000","10.11320","54.37703"
"2.00000","10.61302","56.33128"
"2.10000","11.11328","58.48874"
"2.20000","11.61339","60.79428"
"2.30000","12.11306","63.09284"
"2.40000","12.61309","65.35204"
"2.50000","13.11330","67.57661"
"2.60000","13.61339","69.75227"
"2.70000","14.11308","71.95569"
"2.80000","14.61320","74.02903"
"2.90000","15.11333","76.06766"
"3.00000","15.61335","78.11214"
"3.10000","16.11308","80.04079"
"3.20000","16.61324","81.91302"
"3.30000","17.11323","83.71349"
"3.40000","17.61321","85.44777"
"3.50000","18.11310","87.15852"
"3.60000","18.61333","88.83712"
"3.70000","19.11338","90.41831"
"3.80000","19.61309","91.96822"
"3.90000","20.11310","93.37641"
"4.00000","20.61341","94.78564"
"4.10000","21.11336","96.15324"
"4.20000","21.61302","97.43712"
"4.30000","22.11311","98.71870"
"4.40000","22.61334","99.97519"
"4.40300","22.62833","100.00925"
"4.40400","22.63333","100.02116"
"4.50400","22.47748","97.63989"
"4.60400","21.85828","93.49110"
"4.70400","21.35346","90.28959"
"4.80400","20.85333","87.35183"
"4.90400","20.35320","84.44329"
"5.00400","19.85290","81.65151"
"5.10400","19.35314","78.96633"
"5.20400","18.85321","76.26015"
"5.30400","18.35320","73.65594"
"5.40400","17.85299","71.09291"
"5.50400","17.35316","68.48427"
"5.60400","16.85336","65.96786"
"5.70400","16.35308","63.41047"
"5.80400","15.85303","60.90246"
"5.90400","15.35324","58.41911"
"6.00400","14.85320","55.91050"
"6.10400","14.35303","53.45712"
"6.20400","13.85304","50.99930"
"6.30400","13.35336","48.54565"
"6.40400","12.85312","46.14277"
"6.50400","12.35301","43.81480"
"6.60400","11.85319","41.51086"
"6.70400","11.35327","39.39113"
"6.80400","10.85308","37.38799"
"6.90400","10.35298","35.36288"
"7.00400","9.85326","33.33729"
"7.10400","9.35318","31.31843"
"7.20400","8.85304","29.29766"
"7.30400","8.35308","27.26689"
"7.40400","7.85337","25.21969"
"7.50400","7.35318","23.20352"
"7.60400","6.85302","21.28513"
"7.70400","6.35314","19.29963"
"7.80400","5.85336","17.36689"
"7.90400","5.35309","15.39634"
"8.00400","4.85293","13.37845"
"8.10400","4.35323","11.32922"
"8.20400","3.85328","9.24882"
"8.30400","3.35301","7.11878"
"8.40400","2.85302","5.00081"
"8.50400","2.35329","2.91814"
"8.60400","1.85329","1.08556"
"8.70400","1.35301","0.23549"
"8.72500","1.24814","-0.00331"
