Time,Extension,Load
(s),(mm),(N)
"0.00000","2.41659","5.09701"
"0.10000","2.90871","6.03883"
"0.20000","3.40639","6.82644"
"0.30000","3.90671","7.59813"
"0.40000","4.40644","8.34703"
"0.50000","4.90640","9.08062"
"0.60000","5.40638","9.72843"
"0.70000","5.90655","10.39643"
"0.80000","6.40632","10.99285"
"0.90000","6.90641","11.63984"
"1.00000","7.40648","12.21080"
"1.10000","7.90654","13.08429"
"1.20000","8.40626","13.85896"
"1.30000","8.90644","14.68420"
"1.40000","9.40649","15.57894"
"1.50000","9.90651","16.39218"
"1.60000","10.40628","17.08610"
"1.70000","10.90629","17.63957"
"1.80000","11.40657","18.23430"
"1.90000","11.90650","18.77137"
"2.00000","12.40634","19.29518"
"2.10000","12.90641","19.81058"
"2.20000","13.40662","20.35237"
"2.30000","13.90643","20.82098"
"2.40000","14.40635","21.35793"
"2.50000","14.90635","21.84601"
"2.60000","15.40664","22.31553"
"2.70000","15.90630","22.76414"
"2.80000","16.40616","23.25074"
"2.90000","16.90659","23.68343"
"3.00000","17.40657","24.13105"
"3.10000","17.90627","24.62472"
"3.20000","18.40639","24.99010"
"3.30000","18.90662","25.45274"
"3.40000","19.40647","25.91557"
"3.50000","19.90628","26.29028"
"3.60000","20.40644","26.73553"
"3.70000","20.90659","27.13390"
"3.80000","21.40626","27.55607"
"3.90000","21.90636","27.96044"
"4.00000","22.40650","28.34750"
"4.10000","22.90661","28.78654"
"4.20000","23.40630","29.08915"
"4.30000","23.90637","29.48436"
"4.40000","24.40652","29.86514"
"4.50000","24.90656","30.21939"
"4.60000","25.40617","30.68894"
"4.70000","25.90643","31.08130"
"4.80000","26.40658","31.44263"
"4.90000","26.90637","31.85853"
"5.00000","27.40635","32.27354"
"5.10000","27.90648","32.62963"
"5.20000","28.40663","33.01523"
"5.30000","28.90640","33.37334"
"5.40000","29.40628","33.74427"
"5.50000","29.90654","34.17091"
"5.60000","30.40653","34.51181"
"5.70000","30.90621","34.97101"
"5.80000","31.40627","35.34314"
"5.90000","31.90660","35.79624"
"6.00000","32.40657","36.20464"
"6.10000","32.90631","36.60188"
"6.20000","33.40643","36.94570"
"6.30000","33.90663","37.33229"
"6.40000","34.40639","37.74510"
"6.50000","34.90628","38.08026"
"6.60000","35.40649","38.45942"
"6.70000","35.90657","38.86772"
"6.80000","36.40622","39.24921"
"6.90000","36.90645","39.66546"
"7.00000","37.40652","40.09462"
"7.10000","37.90658","40.44635"
"7.20000","38.40626","40.87317"
"7.30000","38.90644","41.42122"
"7.40000","39.40660","41.98486"
"7.50000","39.90651","42.51137"
"7.60000","40.40626","42.95645"
"7.70000","40.90647","43.38293"
"7.80000","41.40648","43.88560"
"7.90000","41.90648","44.33243"
"8.00000","42.40632","44.83059"
"8.10000","42.90648","45.27137"
"8.20000","43.40657","45.70887"
"8.30000","43.90633","46.20056"
"8.40000","44.40634","46.65404"
"8.50000","44.90656","47.11605"
"8.60000","45.40657","47.55080"
"8.70000","45.90626","47.99505"
"8.80000","46.40633","48.47197"
"8.90000","46.90663","48.92804"
"9.00000","47.40660","49.39713"
"9.10000","47.90626","49.80316"
"9.20000","48.40634","50.22446"
"9.30000","48.90662","50.69968"
"9.40000","49.40643","51.12708"
"9.50000","49.90627","51.51774"
"9.60000","50.40649","51.97468"
"9.70000","50.90646","52.44391"
"9.80000","51.40632","52.87231"
"9.90000","51.90637","53.38862"
"10.00000","52.40667","53.90322"
"10.10000","52.90651","54.41935"
"10.20000","53.40625","54.87268"
"10.29800","53.89642","80.13920"
"10.36900","54.25148","100.06371"
"10.37000","54.25648","101.02522"
"10.39000","54.35481","127.17221"
"10.43600","54.35862","101.57430"
"10.44800","54.28028","76.41220"
"10.47700","54.04395","51.35136"
"10.57700","53.44607","52.92683"
"10.67700","52.94182","51.84282"
"10.77700","52.44155","50.87516"
"10.87700","51.94164","49.95038"
"10.97700","51.44175","49.07311"
"11.07700","50.94146","48.18777"
"11.17700","50.44156","47.32512"
"11.27700","49.94162","46.55163"
"11.37700","49.44163","45.72991"
"11.47700","48.94136","44.93634"
"11.57700","48.44156","44.17228"
"11.67700","47.94165","43.36821"
"11.77700","47.44165","42.70616"
"11.87700","46.94140","41.98619"
"11.97700","46.44170","41.26097"
"12.07700","45.94174","40.68362"
"12.17700","45.44152","40.11535"
"12.27700","44.94139","39.56906"
"12.37700","44.44168","39.02627"
"12.47700","43.94160","38.57725"
"12.57700","43.44150","38.06834"
"12.67700","42.94150","37.62102"
"12.77700","42.44168","37.14291"
"12.87700","41.94163","36.65208"
"12.97700","41.44142","36.16239"
"13.07700","40.94165","35.76479"
"13.17700","40.44162","35.36604"
"13.27700","39.94154","34.92014"
"13.37700","39.44146","34.54121"
"13.47700","38.94166","34.22173"
"13.57700","38.44163","33.73010"
"13.67700","37.94151","33.34953"
"13.77700","37.44142","33.04366"
"13.87700","36.94177","32.70407"
"13.97700","36.44158","32.37531"
"14.07700","35.94146","31.78004"
"14.17700","35.44158","31.04897"
"14.27700","34.94163","30.41663"
"14.37700","34.44155","29.83525"
"14.47700","33.94145","29.18669"
"14.57700","33.44163","28.61518"
"14.67700","32.94163","27.99606"
"14.77700","32.44153","27.40376"
"14.87700","31.94145","26.84604"
"14.97700","31.44170","26.34675"
"15.07700","30.94160","25.78506"
"15.17700","30.44146","25.34469"
"15.27700","29.94144","25.02784"
"15.37700","29.44167","24.71467"
"15.47700","28.94158","24.38287"
"15.57700","28.44140","24.11168"
"15.67700","27.94155","23.79118"
"15.77700","27.44170","23.47943"
"15.87700","26.94148","23.07796"
"15.97700","26.44160","22.74275"
"16.07700","25.94169","22.44014"
"16.17700","25.44156","22.05541"
"16.27700","24.94160","21.67905"
"16.37700","24.44143","21.34279"
"16.47700","23.94170","21.01218"
"16.57700","23.44158","20.66559"
"16.67700","22.94147","20.31615"
"16.77700","22.44146","19.96523"
"16.87700","21.94173","19.68023"
"16.97700","21.44156","19.25746"
"17.07700","20.94147","18.84113"
"17.17700","20.44156","18.42940"
"17.27700","19.94167","18.04781"
"17.37700","19.44156","17.69236"
"17.47700","18.94142","17.29079"
"17.57700","18.44163","16.88918"
"17.67700","17.94159","16.49540"
"17.77700","17.44155","16.12111"
"17.87700","16.94147","15.65117"
"17.97700","16.44168","15.25209"
"18.07700","15.94170","14.79972"
"18.17700","15.44147","14.33923"
"18.27700","14.94138","13.90376"
"18.37700","14.44186","13.46926"
"18.47700","13.94149","13.00992"
"18.57700","13.44150","12.44913"
"18.67700","12.94151","11.87835"
"18.77700","12.44175","11.30569"
"18.87700","11.94148","10.74428"
"18.97700","11.44148","10.25191"
"19.07700","10.94164","9.72398"
"19.17700","10.44162","9.30730"
"19.27700","9.94145","8.77813"
"19.37700","9.44147","8.19869"
"19.47700","8.94174","7.51117"
"19.57700","8.44153","6.80266"
"19.67700","7.94145","6.23276"
"19.77700","7.44157","5.69167"
"19.87700","6.94175","5.10933"
"19.97700","6.44148","4.56206"
"20.07700","5.94146","4.02353"
"20.17700","5.44158","3.51637"
"20.27700","4.94171","2.90176"
"20.37700","4.44139","2.31186"
"20.47700","3.94152","1.74066"
"20.57700","3.44166","1.13196"
"20.67700","2.94161","0.50626"
"20.75900","2.53141","-0.00372"
