Time,Extension,Load
(s),(mm),(N)
"0.00000","0.16794","5.13097"
"0.10000","0.51996","5.76851"
"0.20000","1.06370","6.48190"
"0.30000","1.56544","7.16448"
"0.40000","2.06537","7.76963"
"0.50000","2.56529","8.43416"
"0.60000","3.06538","9.00703"
"0.70000","3.56547","9.62397"
"0.80000","4.06530","10.20461"
"0.90000","4.56519","10.76908"
"1.00000","5.06556","11.30647"
"1.10000","5.56547","11.81610"
"1.20000","6.06519","12.33040"
"1.30000","6.56524","12.96118"
"1.40000","7.06556","13.71769"
"1.50000","7.56548","14.52310"
"1.60000","8.06514","15.27043"
"1.70000","8.56528","16.00353"
"1.80000","9.06553","16.63642"
"1.90000","9.56538","17.19158"
"2.00000","10.06514","17.73550"
"2.10000","10.56550","18.19027"
"2.20000","11.06545","18.71062"
"2.30000","11.56534","19.10115"
"2.40000","12.06520","19.56262"
"2.50000","12.56549","20.09048"
"2.60000","13.06553","20.80499"
"2.70000","13.56511","21.57889"
"2.80000","14.06531","22.32189"
"2.90000","14.56554","22.93868"
"3.00000","15.06545","23.53751"
"3.10000","15.56518","24.13572"
"3.20000","16.06529","24.63702"
"3.30000","16.56562","25.17996"
"3.40000","17.06528","25.72579"
"3.50000","17.56516","26.22553"
"3.60000","18.06544","26.84373"
"3.70000","18.56547","27.47710"
"3.80000","19.06517","28.14088"
"3.90000","19.56525","28.69420"
"4.00000","20.06556","29.34254"
"4.10000","20.56543","29.99784"
"4.20000","21.06523","30.56156"
"4.30000","21.56526","31.14072"
"4.40000","22.06561","31.68583"
"4.50000","22.56535","32.13322"
"4.60000","23.06508","32.56581"
"4.70000","23.56543","32.93493"
"4.80000","24.06556","33.34108"
"4.90000","24.56528","33.88633"
"5.00000","25.06509","34.48344"
"5.10000","25.56553","35.02523"
"5.20000","26.06555","35.56144"
"5.30000","26.56522","36.08880"
"5.40000","27.06524","36.59272"
"5.50000","27.56552","37.10308"
"5.60000","28.06543","37.59844"
"5.70000","28.56517","38.08119"
"5.80000","29.06532","38.56086"
"5.90000","29.56557","39.01618"
"6.00000","30.06539","39.53752"
"6.10000","30.56514","39.99785"
"6.20000","31.06544","40.48632"
"6.30000","31.56559","40.96506"
"6.40000","32.06520","41.46429"
"6.50000","32.56517","41.95908"
"6.60000","33.06549","42.30720"
"6.70000","33.56549","42.50370"
"6.80000","34.06519","42.62585"
"6.90000","34.56526","42.95784"
"7.00000","35.06561","43.41605"
"7.10000","35.56539","43.86257"
"7.20000","36.06522","44.30424"
"7.30000","36.56535","44.79470"
"7.40000","37.06559","45.24892"
"7.50000","37.56529","45.60418"
"7.60000","38.06514","46.03957"
"7.70000","38.56544","46.55249"
"7.80000","39.06556","47.11090"
"7.90000","39.56518","47.59911"
"8.00000","40.06527","48.08760"
"8.10000","40.56555","48.54059"
"8.20000","41.06550","49.08678"
"8.30000","41.56518","49.55515"
"8.40000","42.06524","50.04592"
"8.50000","42.56559","50.50025"
"8.60000","43.06532","50.97773"
"8.70000","43.56516","51.53507"
"8.80000","44.06534","52.05246"
"8.90000","44.56558","52.57505"
"9.00000","45.06536","53.12818"
"9.10000","45.56523","53.65357"
"9.20000","46.06546","54.21403"
"9.30000","46.56553","54.72370"
"9.40000","47.06519","55.22026"
"9.50000","47.56529","55.75831"
"9.60000","48.06546","56.36446"
"9.70000","48.56548","56.91457"
"9.80000","49.06511","57.47396"
"9.87800","49.45553","82.63722"
"9.92600","49.69510","100.18774"
"9.92700","49.70009","100.60294"
"10.00800","49.70252","75.47443"
"10.10800","49.02362","55.91427"
"10.20800","48.51585","54.64873"
"10.30800","48.01492","53.49873"
"10.40800","47.51513","52.40914"
"10.50800","47.01509","51.40751"
"10.60800","46.51511","50.39238"
"10.70800","46.01500","49.44159"
"10.80800","45.51521","48.46026"
"10.90800","45.01527","47.58236"
"11.00800","44.51504","46.77757"
"11.10800","44.01503","45.95029"
"11.20800","43.51528","45.19388"
"11.30800","43.01517","44.38615"
"11.40800","42.51499","43.72820"
"11.50800","42.01500","42.97140"
"11.60800","41.51524","42.30042"
"11.70800","41.01509","41.68543"
"11.80800","40.51497","41.03642"
"11.90800","40.01515","40.55160"
"12.00800","39.51520","40.00312"
"12.10800","39.01512","39.42845"
"12.20800","38.51501","38.92451"
"12.30800","38.01521","38.43273"
"12.40800","37.51518","37.92077"
"12.50800","37.01499","37.39028"
"12.60800","36.51496","36.92325"
"12.70800","36.01523","36.46074"
"12.80800","35.51513","36.02364"
"12.90800","35.01503","35.58014"
"13.00800","34.51506","35.06796"
"13.10800","34.01526","34.67806"
"13.20800","33.51516","34.19874"
"13.30800","33.01500","33.72670"
"13.40800","32.51509","33.26998"
"13.50800","32.01519","32.66007"
"13.60800","31.51508","31.94868"
"13.70800","31.01497","31.33598"
"13.80800","30.51520","30.69725"
"13.90800","30.01522","30.01432"
"14.00800","29.51498","29.40739"
"14.10800","29.01503","28.69299"
"14.20800","28.51532","27.94888"
"14.30800","28.01517","27.28020"
"14.40800","27.51492","26.52212"
"14.50800","27.01509","25.93322"
"14.60800","26.51519","25.47937"
"14.70800","26.01516","25.13097"
"14.80800","25.51500","24.80376"
"14.90800","25.01512","24.47165"
"15.00800","24.51524","24.02065"
"15.10800","24.01502","23.56853"
"15.20800","23.51505","23.12714"
"15.30800","23.01519","22.59267"
"15.40800","22.51515","22.14401"
"15.50800","22.01500","21.65550"
"15.60800","21.51499","21.17421"
"15.70800","21.01529","20.70948"
"15.80800","20.51508","20.26762"
"15.90800","20.01502","19.83389"
"16.00800","19.51508","19.36215"
"16.10800","19.01523","18.97674"
"16.20800","18.51513","18.44328"
"16.30800","18.01502","17.97629"
"16.40800","17.51512","17.52365"
"16.50800","17.01515","17.06787"
"16.60800","16.51504","16.63311"
"16.70800","16.01498","16.19725"
"16.80800","15.51533","15.75118"
"16.90800","15.01513","15.25217"
"17.00800","14.51498","14.84157"
"17.10800","14.01511","14.41842"
"17.20800","13.51528","13.97341"
"17.30800","13.01513","13.47851"
"17.40800","12.51493","13.03948"
"17.50800","12.01510","12.55927"
"17.60800","11.51522","12.07741"
"17.70800","11.01500","11.61085"
"17.80800","10.51506","11.10651"
"17.90800","10.01517","10.71033"
"18.00800","9.51521","10.17145"
"18.10800","9.01497","9.66287"
"18.20800","8.51506","9.09517"
"18.30800","8.01530","8.56917"
"18.40800","7.51514","8.04213"
"18.50800","7.01495","7.58396"
"18.60800","6.51504","7.10538"
"18.70800","6.01524","6.63563"
"18.80800","5.51504","6.18162"
"18.90800","5.01511","5.70538"
"19.00800","4.51507","5.25451"
"19.10800","4.01521","4.72859"
"19.20800","3.51510","4.24587"
"19.30800","3.01504","3.73657"
"19.40800","2.51519","3.25628"
"19.50800","2.01513","2.76104"
"19.60800","1.51502","2.30505"
"19.70800","1.01508","1.80280"
"19.80800","0.51518","1.29062"
"19.90800","0.01519","0.81535"
"20.00800","-0.48502","0.27629"
"20.05900","-0.73985","-0.00001"
