Test : Rate 1,"10.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","1.43053"
"0.01000","0.00000","1.40207"
"0.02000","0.00001","1.37917"
"0.03000","0.00004","1.36950"
"0.04000","0.00014","1.37218"
"0.05000","0.00034","1.38815"
"0.06000","0.00071","1.41746"
"0.07000","0.00132","1.47631"
"0.08000","0.00229","1.58192"
"0.09000","0.00374","1.75070"
"0.10000","0.00572","1.97702"
"0.11000","0.00813","2.22491"
"0.12000","0.01082","2.45429"
"0.13000","0.01364","2.64409"
"0.14000","0.01646","2.81675"
"0.15000","0.01911","2.95060"
"0.16000","0.02152","3.05874"
"0.17000","0.02368","3.16199"
"0.18000","0.02562","3.24424"
"0.19000","0.02743","3.31195"
"0.20000","0.02919","3.37830"
"0.21000","0.03094","3.43324"
"0.22000","0.03271","3.48626"
"0.23000","0.03446","3.53787"
"0.24000","0.03621","3.58144"
"0.25000","0.03796","3.63416"
"0.26000","0.03971","3.69735"
"0.27000","0.04141","3.76488"
"0.28000","0.04303","3.82491"
"0.29000","0.04457","3.87194"
"0.30000","0.04612","3.90400"
"0.31000","0.04774","3.93328"
"0.32000","0.04943","3.97359"
"0.33000","0.05118","4.01114"
"0.34000","0.05294","4.06289"
"0.35000","0.05470","4.11179"
"0.36000","0.05645","4.15708"
"0.37000","0.05817","4.19392"
"0.38000","0.05985","4.22508"
"0.39000","0.06150","4.25359"
"0.40000","0.06315","4.27362"
"0.41000","0.06478","4.29600"
"0.42000","0.06640","4.30210"
"0.43000","0.06801","4.31459"
"0.44000","0.06965","4.32161"
"0.45000","0.07136","4.33137"
"0.46000","0.07316","4.33266"
"0.47000","0.07498","4.32996"
"0.48000","0.07679","4.32633"
"0.49000","0.07854","4.32422"
"0.50000","0.08023","4.31681"
"0.51000","0.08188","4.30692"
"0.52000","0.08346","4.29078"
"0.53000","0.08501","4.25915"
"0.54000","0.08657","4.23354"
"0.55000","0.08818","4.21079"
"0.56000","0.08985","4.21850"
"0.57000","0.09157","4.27300"
"0.58000","0.09331","4.38331"
"0.59000","0.09506","4.51816"
"0.60000","0.09681","4.67075"
"0.61000","0.09852","4.83475"
"0.62000","0.10017","4.99207"
"0.63000","0.10177","5.14268"
"0.64000","0.10337","5.27765"
"0.65000","0.10499","5.42163"
"0.66000","0.10661","5.56200"
"0.67000","0.10822","5.68809"
"0.68000","0.10983","5.82949"
"0.69000","0.11150","5.97527"
"0.70000","0.11323","6.13226"
"0.71000","0.11498","6.28260"
"0.72000","0.11670","6.43085"
"0.73000","0.11837","6.57937"
"0.74000","0.12001","6.71746"
"0.75000","0.12166","6.84637"
"0.76000","0.12331","6.97763"
"0.77000","0.12497","7.10267"
"0.78000","0.12664","7.23666"
"0.79000","0.12834","7.37284"
"0.80000","0.13003","7.49315"
"0.81000","0.13167","7.59336"
"0.82000","0.13327","7.70123"
"0.83000","0.13486","7.80881"
"0.84000","0.13649","7.90966"
"0.85000","0.13814","8.01699"
"0.86000","0.13978","8.12396"
"0.87000","0.14139","8.23649"
"0.88000","0.14303","8.36607"
"0.89000","0.14472","8.49095"
"0.90000","0.14648","8.62180"
"0.91000","0.14827","8.74887"
"0.92000","0.15003","8.87768"
"0.93000","0.15174","9.02297"
"0.94000","0.15341","9.16913"
"0.95000","0.15504","9.30334"
"0.96000","0.15666","9.42364"
"0.97000","0.15829","9.53544"
"0.98000","0.15996","9.65567"
"0.99000","0.16168","9.78139"
"1.00000","0.16340","9.91095"
"1.01000","0.16509","10.03907"
"1.02000","0.16676","10.17294"
"1.03000","0.16842","10.32139"
"1.04000","0.17008","10.46399"
"1.05000","0.17172","10.59887"
"1.06000","0.17330","10.73515"
"1.07000","0.17485","10.86699"
"1.08000","0.17643","10.99583"
"1.09000","0.17807","11.10630"
"1.10000","0.17976","11.21911"
"1.11000","0.18148","11.34831"
"1.12000","0.18321","11.49560"
"1.13000","0.18495","11.63739"
"1.14000","0.18670","11.78168"
"1.15000","0.18844","11.93501"
"1.16000","0.19016","12.07036"
"1.17000","0.19184","12.19032"
"1.18000","0.19348","12.30414"
"1.19000","0.19508","12.42631"
"1.20000","0.19663","12.53626"
"1.21000","0.19817","12.64214"
"1.22000","0.19972","12.75629"
"1.23000","0.20133","12.88651"
"1.24000","0.20300","13.02433"
"1.25000","0.20467","13.15425"
"1.26000","0.20631","13.28597"
"1.27000","0.20796","13.42750"
"1.28000","0.20965","13.57943"
"1.29000","0.21136","13.71800"
"1.30000","0.21305","13.85574"
"1.31000","0.21468","13.98123"
"1.32000","0.21627","14.08667"
"1.33000","0.21786","14.18015"
"1.34000","0.21950","14.30446"
"1.35000","0.22121","14.44262"
"1.36000","0.22297","14.59775"
"1.37000","0.22478","14.75884"
"1.38000","0.22660","14.92303"
"1.39000","0.22836","15.06966"
"1.40000","0.23004","15.19629"
"1.41000","0.23164","15.30561"
"1.42000","0.23323","15.41970"
"1.43000","0.23484","15.53071"
"1.44000","0.23644","15.65557"
"1.45000","0.23803","15.76806"
"1.46000","0.23962","15.88017"
"1.47000","0.24127","15.99930"
"1.48000","0.24301","16.15877"
"1.49000","0.24484","16.34155"
"1.50000","0.24670","16.51121"
"1.51000","0.24853","16.66237"
"1.52000","0.25029","16.80607"
"1.53000","0.25198","16.94034"
"1.54000","0.25359","17.06043"
"1.55000","0.25516","17.17540"
"1.56000","0.25674","17.27454"
"1.57000","0.25836","17.39721"
"1.58000","0.26002","17.52130"
"1.59000","0.26169","17.64432"
"1.60000","0.26336","17.76349"
"1.61000","0.26504","17.91512"
"1.62000","0.26675","18.06879"
"1.63000","0.26847","18.20885"
"1.64000","0.27015","18.34700"
"1.65000","0.27177","18.47013"
"1.66000","0.27336","18.58679"
"1.67000","0.27496","18.71601"
"1.68000","0.27659","18.82764"
"1.69000","0.27823","18.94070"
"1.70000","0.27988","19.05043"
"1.71000","0.28153","19.17929"
"1.72000","0.28320","19.29792"
"1.73000","0.28488","19.40608"
"1.74000","0.28655","19.52736"
"1.75000","0.28821","19.66742"
"1.76000","0.28987","19.81151"
"1.77000","0.29155","19.94222"
"1.78000","0.29323","20.07153"
"1.79000","0.29488","20.21673"
"1.80000","0.29654","20.37174"
"1.81000","0.29821","20.51839"
"1.82000","0.29992","20.64349"
"1.83000","0.30163","20.76457"
"1.84000","0.30329","20.88646"
"1.85000","0.30492","21.00035"
"1.86000","0.30655","21.13836"
"1.87000","0.30821","21.28155"
"1.88000","0.30989","21.41644"
"1.89000","0.31156","21.52926"
"1.90000","0.31321","21.64569"
"1.91000","0.31485","21.78061"
"1.92000","0.31652","21.92871"
"1.93000","0.31821","22.06071"
"1.94000","0.31991","22.17578"
"1.95000","0.32163","22.29257"
"1.96000","0.32336","22.44070"
"1.97000","0.32506","22.57212"
"1.98000","0.32673","22.71087"
"1.99000","0.32836","22.86247"
"2.00000","0.33000","23.00871"
"2.01000","0.33168","23.13795"
"2.02000","0.33339","23.27994"
"2.03000","0.33506","23.40621"
"2.04000","0.33669","23.52317"
"2.05000","0.33830","23.64986"
"2.06000","0.33992","23.78577"
"2.07000","0.34157","23.90654"
"2.08000","0.34323","24.03034"
"2.09000","0.34486","24.14315"
"2.10000","0.34648","24.26501"
"2.11000","0.34810","24.40090"
"2.12000","0.34974","24.54924"
"2.13000","0.35141","24.70725"
"2.14000","0.35310","24.85469"
"2.15000","0.35485","24.99310"
"2.16000","0.35662","25.13923"
"2.17000","0.35840","25.28206"
"2.18000","0.36013","25.41607"
"2.19000","0.36182","25.54084"
"2.20000","0.36349","25.67229"
"2.21000","0.36513","25.78799"
"2.22000","0.36674","25.90892"
"2.23000","0.36829","26.03205"
"2.24000","0.36982","26.15933"
"2.25000","0.37138","26.28644"
"2.26000","0.37301","26.40929"
"2.27000","0.37470","26.53035"
"2.28000","0.37640","26.65205"
"2.29000","0.37809","26.78852"
"2.30000","0.37977","26.93424"
"2.31000","0.38143","27.06964"
"2.32000","0.38307","27.20039"
"2.33000","0.38469","27.32519"
"2.34000","0.38631","27.45613"
"2.35000","0.38796","27.59791"
"2.36000","0.38965","27.74025"
"2.37000","0.39135","27.88458"
"2.38000","0.39304","28.00979"
"2.39000","0.39473","28.13961"
"2.40000","0.39646","28.28474"
"2.41000","0.39820","28.43163"
"2.42000","0.39990","28.56647"
"2.43000","0.40154","28.67414"
"2.44000","0.40315","28.77676"
"2.45000","0.40477","28.89888"
"2.46000","0.40642","29.03106"
"2.47000","0.40809","29.17616"
"2.48000","0.40975","29.31057"
"2.49000","0.41142","29.43889"
"2.50000","0.41311","29.56588"
"2.51000","0.41484","29.70722"
"2.52000","0.41660","29.86107"
"2.53000","0.41839","30.01483"
"2.54000","0.42017","30.17480"
"2.55000","0.42193","30.32322"
"2.56000","0.42362","30.46341"
"2.57000","0.42523","30.57011"
"2.58000","0.42680","30.67343"
"2.59000","0.42840","30.79915"
"2.60000","0.43006","30.93246"
"2.61000","0.43175","31.06912"
"2.62000","0.43343","31.19895"
"2.63000","0.43510","31.33124"
"2.64000","0.43676","31.47132"
"2.65000","0.43845","31.61214"
"2.66000","0.44013","31.74741"
"2.67000","0.44177","31.87174"
"2.68000","0.44335","31.99871"
"2.69000","0.44492","32.10776"
"2.70000","0.44649","32.22761"
"2.71000","0.44808","32.34211"
"2.72000","0.44971","32.45906"
"2.73000","0.45139","32.58293"
"2.74000","0.45313","32.71717"
"2.75000","0.45489","32.87782"
"2.76000","0.45664","33.03008"
"2.77000","0.45834","33.17656"
"2.78000","0.46000","33.31267"
"2.79000","0.46166","33.42968"
"2.80000","0.46333","33.54176"
"2.81000","0.46496","33.63986"
"2.82000","0.46657","33.75483"
"2.83000","0.46817","33.87439"
"2.84000","0.46981","33.99056"
"2.85000","0.47148","34.11544"
