Test : Rate 1,"10.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","1.27243"
"0.01000","0.00000","1.26250"
"0.02000","0.00003","1.23912"
"0.03000","0.00018","1.23874"
"0.04000","0.00060","1.28747"
"0.05000","0.00141","1.38019"
"0.06000","0.00268","1.52297"
"0.07000","0.00436","1.69703"
"0.08000","0.00635","1.90258"
"0.09000","0.00852","2.14071"
"0.10000","0.01077","2.38980"
"0.11000","0.01300","2.64265"
"0.12000","0.01513","2.85684"
"0.13000","0.01709","3.05052"
"0.14000","0.01893","3.22505"
"0.15000","0.02073","3.37431"
"0.16000","0.02254","3.53323"
"0.17000","0.02436","3.70596"
"0.18000","0.02618","3.87364"
"0.19000","0.02797","4.04220"
"0.20000","0.02974","4.18167"
"0.21000","0.03148","4.33836"
"0.22000","0.03317","4.49480"
"0.23000","0.03482","4.63346"
"0.24000","0.03646","4.77723"
"0.25000","0.03810","4.91602"
"0.26000","0.03971","5.04525"
"0.27000","0.04133","5.17810"
"0.28000","0.04298","5.31423"
"0.29000","0.04470","5.44253"
"0.30000","0.04650","5.57841"
"0.31000","0.04831","5.73022"
"0.32000","0.05010","5.87092"
"0.33000","0.05183","6.01406"
"0.34000","0.05351","6.15541"
"0.35000","0.05513","6.29583"
"0.36000","0.05671","6.42796"
"0.37000","0.05826","6.56495"
"0.38000","0.05982","6.68868"
"0.39000","0.06143","6.81583"
"0.40000","0.06310","6.94371"
"0.41000","0.06481","7.08422"
"0.42000","0.06655","7.23134"
"0.43000","0.06829","7.37571"
"0.44000","0.07003","7.51822"
"0.45000","0.07172","7.64793"
"0.46000","0.07334","7.77167"
"0.47000","0.07492","7.89939"
"0.48000","0.07650","8.01864"
"0.49000","0.07811","8.14016"
"0.50000","0.07974","8.28506"
"0.51000","0.08138","8.41620"
"0.52000","0.08304","8.54364"
"0.53000","0.08474","8.69001"
"0.54000","0.08649","8.83803"
"0.55000","0.08825","8.97455"
"0.56000","0.08996","9.11252"
"0.57000","0.09162","9.24400"
"0.58000","0.09325","9.36375"
"0.59000","0.09488","9.49481"
"0.60000","0.09652","9.65389"
"0.61000","0.09817","9.80151"
"0.62000","0.09985","9.92272"
"0.63000","0.10155","10.05039"
"0.64000","0.10324","10.19420"
"0.65000","0.10489","10.33103"
"0.66000","0.10651","10.45765"
"0.67000","0.10813","10.58123"
"0.68000","0.10978","10.71906"
"0.69000","0.11145","10.85236"
"0.70000","0.11310","10.98824"
"0.71000","0.11472","11.11434"
"0.72000","0.11635","11.23725"
"0.73000","0.11804","11.36210"
"0.74000","0.11979","11.49354"
"0.75000","0.12156","11.63641"
"0.76000","0.12330","11.78069"
"0.77000","0.12501","11.93177"
"0.78000","0.12668","12.07683"
"0.79000","0.12832","12.20845"
"0.80000","0.12996","12.32559"
"0.81000","0.13160","12.44574"
"0.82000","0.13328","12.56594"
"0.83000","0.13500","12.70591"
"0.84000","0.13671","12.85121"
"0.85000","0.13840","12.99272"
"0.86000","0.14005","13.12607"
"0.87000","0.14171","13.25599"
"0.88000","0.14337","13.38771"
"0.89000","0.14502","13.52206"
"0.90000","0.14661","13.66228"
"0.91000","0.14817","13.77823"
"0.92000","0.14975","13.88085"
"0.93000","0.15139","14.00223"
"0.94000","0.15307","14.11759"
"0.95000","0.15478","14.26549"
"0.96000","0.15651","14.42985"
"0.97000","0.15825","14.58078"
"0.98000","0.16001","14.73482"
"0.99000","0.16176","14.88196"
"1.00000","0.16349","15.00741"
"1.01000","0.16518","15.13742"
"1.02000","0.16683","15.25190"
"1.03000","0.16843","15.35668"
"1.04000","0.16998","15.45879"
"1.05000","0.17151","15.58112"
"1.06000","0.17306","15.71586"
"1.07000","0.17467","15.85576"
"1.08000","0.17632","15.99218"
"1.09000","0.17797","16.12385"
"1.10000","0.17961","16.26550"
"1.11000","0.18125","16.41101"
"1.12000","0.18292","16.56832"
"1.13000","0.18464","16.72397"
"1.14000","0.18634","16.86386"
"1.15000","0.18798","16.98463"
"1.16000","0.18958","17.11319"
"1.17000","0.19118","17.24098"
"1.18000","0.19283","17.35908"
"1.19000","0.19454","17.49678"
"1.20000","0.19630","17.64055"
"1.21000","0.19810","17.78935"
"1.22000","0.19990","17.93958"
"1.23000","0.20166","18.07593"
"1.24000","0.20333","18.19151"
"1.25000","0.20494","18.29757"
"1.26000","0.20654","18.41949"
"1.27000","0.20816","18.56108"
"1.28000","0.20978","18.69962"
"1.29000","0.21138","18.83924"
"1.30000","0.21299","18.96566"
"1.31000","0.21465","19.09230"
"1.32000","0.21640","19.22356"
"1.33000","0.21823","19.38387"
"1.34000","0.22007","19.54220"
"1.35000","0.22189","19.70108"
"1.36000","0.22363","19.84569"
"1.37000","0.22531","19.97629"
"1.38000","0.22692","20.08699"
"1.39000","0.22850","20.20335"
"1.40000","0.23009","20.32896"
"1.41000","0.23172","20.45905"
"1.42000","0.23339","20.60504"
"1.43000","0.23506","20.74899"
"1.44000","0.23674","20.87642"
"1.45000","0.23841","21.00608"
"1.46000","0.24011","21.15892"
"1.47000","0.24181","21.31848"
"1.48000","0.24347","21.46530"
"1.49000","0.24507","21.57804"
"1.50000","0.24665","21.66825"
"1.51000","0.24825","21.76493"
"1.52000","0.24988","21.89472"
"1.53000","0.25153","22.02798"
"1.54000","0.25318","22.16950"
"1.55000","0.25484","22.33766"
"1.56000","0.25652","22.49104"
"1.57000","0.25820","22.63069"
"1.58000","0.25988","22.77259"
"1.59000","0.26153","22.91847"
"1.60000","0.26319","23.07079"
"1.61000","0.26487","23.19512"
"1.62000","0.26655","23.30626"
"1.63000","0.26821","23.42782"
"1.64000","0.26987","23.54850"
"1.65000","0.27155","23.68370"
"1.66000","0.27327","23.82073"
"1.67000","0.27498","23.95937"
"1.68000","0.27664","24.10571"
"1.69000","0.27827","24.24466"
"1.70000","0.27990","24.39456"
"1.71000","0.28157","24.53515"
"1.72000","0.28324","24.66311"
"1.73000","0.28490","24.78129"
"1.74000","0.28653","24.91195"
"1.75000","0.28816","25.03090"
"1.76000","0.28982","25.16135"
"1.77000","0.29150","25.28850"
"1.78000","0.29321","25.42640"
"1.79000","0.29493","25.58858"
"1.80000","0.29666","25.76119"
"1.81000","0.29837","25.91567"
"1.82000","0.30004","26.04989"
"1.83000","0.30167","26.19076"
"1.84000","0.30331","26.32809"
"1.85000","0.30498","26.45664"
"1.86000","0.30669","26.59610"
"1.87000","0.30837","26.75099"
"1.88000","0.31001","26.89003"
"1.89000","0.31163","27.01875"
"1.90000","0.31326","27.12808"
"1.91000","0.31492","27.24224"
"1.92000","0.31658","27.38084"
"1.93000","0.31822","27.51191"
"1.94000","0.31983","27.64173"
"1.95000","0.32144","27.78471"
"1.96000","0.32307","27.94018"
"1.97000","0.32472","28.09380"
"1.98000","0.32641","28.24268"
"1.99000","0.32816","28.38066"
"2.00000","0.32994","28.53359"
"2.01000","0.33173","28.68735"
"2.02000","0.33349","28.82601"
"2.03000","0.33519","28.95873"
"2.04000","0.33686","29.10808"
"2.05000","0.33851","29.26177"
"2.06000","0.34011","29.40257"
"2.07000","0.34165","29.52296"
"2.08000","0.34317","29.64624"
"2.09000","0.34472","29.77186"
"2.10000","0.34634","29.88389"
"2.11000","0.34801","30.00811"
"2.12000","0.34970","30.14734"
"2.13000","0.35138","30.28434"
"2.14000","0.35304","30.43360"
"2.15000","0.35470","30.56688"
"2.16000","0.35635","30.71052"
"2.17000","0.35798","30.85250"
"2.18000","0.35960","30.99757"
"2.19000","0.36125","31.13108"
"2.20000","0.36294","31.24333"
"2.21000","0.36463","31.38990"
"2.22000","0.36632","31.54967"
"2.23000","0.36802","31.67466"
"2.24000","0.36975","31.81960"
"2.25000","0.37149","31.97354"
"2.26000","0.37320","32.11339"
"2.27000","0.37484","32.24499"
"2.28000","0.37646","32.34963"
"2.29000","0.37809","32.49423"
"2.30000","0.37975","32.64978"
"2.31000","0.38142","32.80278"
"2.32000","0.38309","32.93619"
"2.33000","0.38476","33.07729"
"2.34000","0.38646","33.20753"
"2.35000","0.38819","33.31007"
"2.36000","0.38995","33.45610"
"2.37000","0.39174","33.62945"
"2.38000","0.39353","33.77841"
"2.39000","0.39529","33.91358"
"2.40000","0.39698","34.04596"
"2.41000","0.39859","34.18389"
"2.42000","0.40016","34.31314"
"2.43000","0.40175","34.46425"
"2.44000","0.40340","34.60775"
"2.45000","0.40508","34.73757"
"2.46000","0.40675","34.84299"
"2.47000","0.40840","34.95764"
"2.48000","0.41006","35.06494"
"2.49000","0.41174","35.18267"
"2.50000","0.41342","35.32019"
"2.51000","0.41506","35.46029"
"2.52000","0.41666","35.61248"
"2.53000","0.41823","35.78826"
"2.54000","0.41982","35.95890"
"2.55000","0.42143","36.10814"
"2.56000","0.42308","36.26145"
"2.57000","0.42478","36.41087"
"2.58000","0.42653","36.54312"
"2.59000","0.42830","36.65159"
"2.60000","0.43003","36.74601"
"2.61000","0.43171","36.85708"
"2.62000","0.43336","36.98304"
"2.63000","0.43501","37.11907"
"2.64000","0.43665","37.26918"
"2.65000","0.43829","37.40780"
"2.66000","0.43989","37.54041"
"2.67000","0.44151","37.68782"
"2.68000","0.44316","37.84589"
"2.69000","0.44484","37.99519"
"2.70000","0.44652","38.12810"
"2.71000","0.44815","38.26030"
"2.72000","0.44976","38.39491"
"2.73000","0.45137","38.51719"
"2.74000","0.45301","38.64202"
"2.75000","0.45468","38.78794"
"2.76000","0.45639","38.92009"
"2.77000","0.45816","39.07195"
"2.78000","0.45996","39.22779"
"2.79000","0.46176","39.38672"
"2.80000","0.46353","39.54033"
"2.81000","0.46524","39.70110"
"2.82000","0.46693","39.84970"
"2.83000","0.46859","39.97541"
"2.84000","0.47022","40.07869"
"2.85000","0.47180","40.17373"
