Time,Extension,Load
(s),(mm),(N)
"0.00000","0.04664","2.00425"
"0.01000","0.04681","2.00660"
"0.02000","0.04704","2.02513"
"0.03000","0.04762","2.08003"
"0.04000","0.04887","2.16643"
"0.05000","0.05101","2.27001"
"0.06000","0.05406","2.41085"
"0.07000","0.05784","2.58158"
"0.08000","0.06208","2.77865"
"0.09000","0.06650","2.98115"
"0.10000","0.07088","3.18545"
"0.11000","0.07512","3.39387"
"0.12000","0.07915","3.59285"
"0.13000","0.08298","3.76814"
"0.14000","0.08664","3.93925"
"0.15000","0.09016","4.09497"
"0.16000","0.09358","4.20689"
"0.17000","0.09694","4.27690"
"0.18000","0.10026","4.35736"
"0.19000","0.10354","4.43055"
"0.20000","0.10683","4.50658"
"0.21000","0.11015","4.58139"
"0.22000","0.11350","4.66402"
"0.23000","0.11687","4.76364"
"0.24000","0.12022","4.87378"
"0.25000","0.12350","4.97628"
"0.26000","0.12673","5.08101"
"0.27000","0.12995","5.21241"
"0.28000","0.13317","5.34475"
"0.29000","0.13640","5.49254"
"0.30000","0.13961","5.63742"
"0.31000","0.14284","5.77050"
"0.32000","0.14610","5.90761"
"0.33000","0.14941","6.02220"
"0.34000","0.15277","6.14961"
"0.35000","0.15616","6.27494"
"0.36000","0.15956","6.41979"
"0.37000","0.16297","6.55506"
"0.38000","0.16637","6.70560"
"0.39000","0.16979","6.86790"
"0.40000","0.17325","7.01045"
"0.41000","0.17672","7.15855"
"0.42000","0.18017","7.31021"
"0.43000","0.18358","7.46738"
"0.44000","0.18697","7.63230"
"0.45000","0.19033","7.79120"
"0.46000","0.19367","7.95996"
"0.47000","0.19700","8.13068"
"0.48000","0.20028","8.29409"
"0.49000","0.20355","8.44227"
"0.50000","0.20683","8.57564"
"0.51000","0.21015","8.70883"
"0.52000","0.21349","8.85149"
"0.53000","0.21685","9.00504"
"0.54000","0.22021","9.16020"
"0.55000","0.22354","9.32638"
"0.56000","0.22687","9.49260"
"0.57000","0.23017","9.65444"
"0.58000","0.23345","9.80753"
"0.59000","0.23673","9.96063"
"0.60000","0.24005","10.12719"
"0.61000","0.24342","10.28718"
"0.62000","0.24681","10.44893"
"0.63000","0.25021","10.61934"
"0.64000","0.25358","10.77840"
"0.65000","0.25694","10.93063"
"0.66000","0.26029","11.09012"
"0.67000","0.26362","11.24640"
"0.68000","0.26693","11.40020"
"0.69000","0.27021","11.54817"
"0.70000","0.27349","11.70204"
"0.71000","0.27680","11.87820"
"0.72000","0.28015","12.05155"
"0.73000","0.28355","12.21888"
"0.74000","0.28696","12.38714"
"0.75000","0.29036","12.55510"
"0.76000","0.29369","12.72649"
"0.77000","0.29695","12.90134"
"0.78000","0.30016","13.06717"
"0.79000","0.30336","13.21549"
"0.80000","0.30659","13.35809"
"0.81000","0.30983","13.50669"
"0.82000","0.31310","13.65229"
"0.83000","0.31641","13.82621"
"0.84000","0.31974","13.98722"
"0.85000","0.32310","14.13913"
"0.86000","0.32645","14.29226"
"0.87000","0.32977","14.45874"
"0.88000","0.33309","14.62193"
"0.89000","0.33643","14.80350"
"0.90000","0.33986","14.99594"
"0.91000","0.34337","15.17974"
"0.92000","0.34692","15.35386"
"0.93000","0.35043","15.51240"
"0.94000","0.35388","15.67668"
"0.95000","0.35727","15.83758"
"0.96000","0.36062","15.99728"
"0.97000","0.36392","16.16359"
"0.98000","0.36720","16.33567"
"0.99000","0.37045","16.50102"
"1.00000","0.37369","16.66385"
"1.01000","0.37695","16.82033"
"1.02000","0.38024","16.95739"
"1.03000","0.38352","17.09345"
"1.04000","0.38680","17.24773"
"1.05000","0.39009","17.40205"
"1.06000","0.39339","17.55836"
"1.07000","0.39671","17.73069"
"1.08000","0.40005","17.89365"
"1.09000","0.40342","18.06958"
"1.10000","0.40679","18.22961"
"1.11000","0.41018","18.38986"
"1.12000","0.41359","18.55770"
"1.13000","0.41698","18.72889"
"1.14000","0.42035","18.90766"
"1.15000","0.42369","19.07318"
"1.16000","0.42699","19.22107"
"1.17000","0.43030","19.38126"
"1.18000","0.43362","19.53743"
"1.19000","0.43696","19.69463"
"1.20000","0.44028","19.89485"
"1.21000","0.44358","20.09168"
"1.22000","0.44686","20.25917"
"1.23000","0.45014","20.40533"
"1.24000","0.45348","20.55947"
"1.25000","0.45685","20.70045"
"1.26000","0.46022","20.84053"
"1.27000","0.46354","20.98819"
"1.28000","0.46683","21.16587"
"1.29000","0.47011","21.35156"
"1.30000","0.47340","21.52615"
"1.31000","0.47671","21.69472"
"1.32000","0.48000","21.84999"
"1.33000","0.48325","22.01184"
"1.34000","0.48650","22.17545"
"1.35000","0.48977","22.34752"
"1.36000","0.49309","22.52254"
"1.37000","0.49643","22.67979"
"1.38000","0.49979","22.83652"
"1.39000","0.50314","22.99166"
"1.40000","0.50648","23.14701"
"1.41000","0.50987","23.30302"
"1.42000","0.51331","23.44824"
"1.43000","0.51678","23.61923"
"1.44000","0.52023","23.80271"
"1.45000","0.52364","23.99212"
"1.46000","0.52702","24.16673"
"1.47000","0.53039","24.34062"
"1.48000","0.53378","24.51756"
"1.49000","0.53717","24.68884"
"1.50000","0.54053","24.86076"
"1.51000","0.54384","25.02669"
"1.52000","0.54710","25.19896"
"1.53000","0.55036","25.35131"
"1.54000","0.55364","25.50132"
"1.55000","0.55692","25.65531"
"1.56000","0.56020","25.82058"
"1.57000","0.56350","25.98036"
